Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_BAL_njobs500_mode0_L2_norm_flow_time,Dynamic_BAL_njobs500_mode0_maximum_flow_time,Dynamic_BAL_njobs500_mode1_L2_norm_flow_time,Dynamic_BAL_njobs500_mode1_maximum_flow_time,Dynamic_BAL_njobs500_mode2_L2_norm_flow_time,Dynamic_BAL_njobs500_mode2_maximum_flow_time,Dynamic_BAL_njobs500_mode4_L2_norm_flow_time,Dynamic_BAL_njobs500_mode4_maximum_flow_time,Dynamic_BAL_njobs500_mode8_L2_norm_flow_time,Dynamic_BAL_njobs500_mode8_maximum_flow_time,Dynamic_BAL_njobs500_mode16_L2_norm_flow_time,Dynamic_BAL_njobs500_mode16_maximum_flow_time
28,5.649000,4096.000000,592840.568451,282947.000000,592840.568451,282947.000000,592840.568451,282947.000000,592840.568451,282947.000000,592840.568451,282947.000000,592840.568451,282947.000000
28,30.000000,18.000000,1767292.400006,141775.000000,1810598.060303,29146.000000,1810598.060303,29146.000000,1810598.060303,29146.000000,1810598.060303,29146.000000,1767292.400006,141775.000000
28,16.772000,64.000000,1435720.026819,26754.000000,1435720.026819,26754.000000,1435720.026819,26754.000000,1435720.026819,26754.000000,1435720.026819,26754.000000,1435720.026819,26754.000000
28,7.918000,512.000000,1273668.507652,238264.000000,1273668.507652,238264.000000,1273668.507652,238264.000000,1273668.507652,238264.000000,1273668.507652,238264.000000,1273668.507652,238264.000000
28,30.000000,12.000000,1348669.065615,25604.000000,1348669.065615,25604.000000,1348669.065615,25604.000000,1348669.065615,25604.000000,1348669.065615,25604.000000,1348669.065615,25604.000000
28,30.000000,6.000000,1518098.050527,26111.000000,1518098.050527,26111.000000,1518098.050527,26111.000000,1518098.050527,26111.000000,1518098.050527,26111.000000,1518098.050527,26111.000000
28,4.073000,262144.000000,499362.709148,256494.000000,499362.709148,256494.000000,499362.709148,256494.000000,499362.709148,256494.000000,499362.709148,256494.000000,499362.709148,256494.000000
28,30.000000,15.000000,1419406.606231,26908.000000,1419406.606231,26908.000000,1419406.606231,26908.000000,1419406.606231,26908.000000,1419406.606231,26908.000000,1419406.606231,26908.000000
28,4.639000,32768.000000,357311.680414,181084.000000,357311.680414,181084.000000,357311.680414,181084.000000,357311.680414,181084.000000,357311.680414,181084.000000,357311.680414,181084.000000
28,30.000000,9.000000,1251283.241543,24662.000000,1251283.241543,24662.000000,1251283.241543,24662.000000,1251283.241543,24662.000000,1251283.241543,24662.000000,1251283.241543,24662.000000
