arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
36.00,8.50,262144,0.00,100.00,100
40.00,9.80,32768,0.00,100.00,100
38.00,8.50,262144,0.00,100.00,100
28.00,8.50,262144,0.00,100.00,100
38.00,9.80,32768,0.00,100.00,100
36.00,9.80,32768,0.00,100.00,100
34.00,8.50,262144,0.00,100.00,100
40.00,8.50,262144,0.00,100.00,100
38.00,12.40,4096,0.00,100.00,100
32.00,9.80,32768,0.00,100.00,100
40.00,18.90,512,0.00,100.00,100
34.00,9.80,32768,0.00,100.00,100
40.00,12.40,4096,0.00,100.00,100
22.00,8.50,262144,0.00,100.00,100
32.00,12.40,4096,0.00,100.00,100
34.00,12.40,4096,0.00,100.00,100
30.00,12.40,4096,0.00,100.00,100
30.00,9.80,32768,0.00,100.00,100
32.00,8.50,262144,0.00,100.00,100
30.00,8.50,262144,0.00,100.00,100
36.00,12.40,4096,0.00,100.00,100
28.00,9.80,32768,0.00,100.00,100
34.00,18.90,512,0.00,100.00,100
26.00,8.50,262144,0.00,100.00,100
28.00,12.40,4096,0.00,100.00,100
26.00,9.80,32768,0.00,100.00,100
30.00,18.90,512,0.00,100.00,100
22.00,9.80,32768,0.00,100.00,100
38.00,18.90,512,0.00,100.00,100
24.00,8.50,262144,0.00,100.00,100
28.00,18.90,512,0.00,100.00,100
24.00,9.80,32768,0.00,100.00,100
38.00,60.00,18,99.00,1.00,100
26.00,12.40,4096,0.00,100.00,100
38.00,60.00,24,81.00,19.00,100
20.00,8.50,262144,0.00,100.00,100
36.00,18.90,512,0.00,100.00,100
36.00,60.00,12,99.00,1.00,100
32.00,60.00,18,92.00,8.00,100
32.00,60.00,24,56.00,44.00,100
40.00,56.30,64,99.00,1.00,100
20.00,9.80,32768,0.00,100.00,100
24.00,12.40,4096,0.00,100.00,100
36.00,56.30,64,99.00,1.00,100
30.00,60.00,24,40.00,60.00,100
32.00,18.90,512,0.00,100.00,100
40.00,60.00,18,99.00,1.00,100
28.00,60.00,24,9.00,91.00,100
30.00,60.00,12,99.00,1.00,100
30.00,60.00,18,80.00,20.00,100
40.00,60.00,24,84.00,16.00,100
28.00,60.00,18,74.00,26.00,100
32.00,56.30,64,99.00,1.00,100
22.00,12.40,4096,0.00,100.00,100
36.00,60.00,24,75.00,25.00,100
36.00,60.00,18,99.00,1.00,100
24.00,60.00,24,1.00,99.00,100
28.00,56.30,64,99.00,1.00,100
20.00,60.00,24,0.00,100.00,100
40.00,60.00,12,99.00,1.00,100
26.00,60.00,12,99.00,1.00,100
26.00,56.30,64,99.00,1.00,100
38.00,60.00,12,99.00,1.00,100
26.00,18.90,512,0.00,100.00,100
22.00,18.90,512,0.00,100.00,100
20.00,12.40,4096,0.00,100.00,100
34.00,60.00,24,64.00,36.00,100
24.00,18.90,512,0.00,100.00,100
24.00,56.30,64,99.00,1.00,100
34.00,60.00,18,99.00,1.00,100
38.00,56.30,64,99.00,1.00,100
34.00,60.00,12,99.00,1.00,100
20.00,56.30,64,99.00,1.00,100
20.00,18.90,512,0.00,100.00,100
32.00,60.00,12,99.00,1.00,100
28.00,60.00,12,99.00,1.00,100
34.00,56.30,64,99.00,1.00,100
26.00,60.00,24,3.00,97.00,100
24.00,60.00,12,99.00,1.00,100
26.00,60.00,18,71.00,29.00,100
22.00,60.00,24,0.00,100.00,100
30.00,56.30,64,99.00,1.00,100
24.00,60.00,18,45.00,55.00,100
22.00,60.00,18,4.00,96.00,100
20.00,60.00,18,0.00,100.00,100
22.00,60.00,12,99.00,1.00,100
20.00,60.00,12,99.00,1.00,100
22.00,56.30,64,99.00,1.00,100
