arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
26.00,4.64,32768.00,0.00,100.00,50
30.00,4.07,262144.00,0.00,100.00,50
20.00,5.65,4096.00,0.00,100.00,50
24.00,4.07,262144.00,0.00,100.00,50
28.00,30.00,18.00,98.00,2.00,50
28.00,30.00,15.00,98.00,2.00,50
22.00,4.64,32768.00,0.00,100.00,50
28.00,4.64,32768.00,0.00,100.00,50
30.00,30.00,9.00,98.00,2.00,50
26.00,30.00,18.00,98.00,2.00,50
28.00,4.07,262144.00,0.00,100.00,50
24.00,16.77,64.00,82.00,18.00,50
38.00,4.64,32768.00,0.00,100.00,50
28.00,30.00,12.00,98.00,2.00,50
24.00,7.92,512.00,0.00,100.00,50
26.00,16.77,64.00,98.00,2.00,50
22.00,4.07,262144.00,0.00,100.00,50
26.00,5.65,4096.00,0.00,100.00,50
28.00,30.00,6.00,98.00,2.00,50
22.00,30.00,15.00,20.00,80.00,50
20.00,7.92,512.00,0.00,100.00,50
24.00,30.00,12.00,98.00,2.00,50
26.00,30.00,6.00,98.00,2.00,50
28.00,30.00,9.00,98.00,2.00,50
26.00,30.00,12.00,98.00,2.00,50
24.00,30.00,15.00,88.00,12.00,50
28.00,16.77,64.00,98.00,2.00,50
22.00,7.92,512.00,0.00,100.00,50
24.00,4.64,32768.00,0.00,100.00,50
20.00,30.00,9.00,98.00,2.00,50
24.00,30.00,9.00,98.00,2.00,50
24.00,30.00,6.00,98.00,2.00,50
24.00,30.00,18.00,28.00,72.00,50
22.00,30.00,12.00,62.00,38.00,50
22.00,30.00,18.00,20.00,80.00,50
20.00,30.00,15.00,16.00,84.00,50
20.00,30.00,18.00,14.00,86.00,50
22.00,30.00,9.00,98.00,2.00,50
20.00,30.00,6.00,98.00,2.00,50
20.00,30.00,12.00,20.00,80.00,50
20.00,16.77,64.00,18.00,82.00,50
22.00,16.77,64.00,26.00,74.00,50
22.00,30.00,6.00,98.00,2.00,50
38.00,30.00,9.00,98.00,2.00,50
40.00,16.77,64.00,98.00,2.00,50
26.00,4.07,262144.00,0.00,100.00,50
40.00,7.92,512.00,0.00,100.00,50
40.00,4.07,262144.00,0.00,100.00,50
40.00,30.00,9.00,98.00,2.00,50
36.00,30.00,18.00,98.00,2.00,50
36.00,4.07,262144.00,0.00,100.00,50
36.00,7.92,512.00,0.00,100.00,50
34.00,30.00,6.00,98.00,2.00,50
40.00,30.00,12.00,98.00,2.00,50
38.00,30.00,6.00,98.00,2.00,50
34.00,16.77,64.00,98.00,2.00,50
38.00,7.92,512.00,0.00,100.00,50
34.00,5.65,4096.00,0.00,100.00,50
36.00,30.00,6.00,98.00,2.00,50
34.00,30.00,12.00,98.00,2.00,50
40.00,30.00,18.00,98.00,2.00,50
40.00,4.64,32768.00,0.00,100.00,50
32.00,16.77,64.00,98.00,2.00,50
36.00,16.77,64.00,98.00,2.00,50
38.00,30.00,18.00,98.00,2.00,50
36.00,4.64,32768.00,0.00,100.00,50
38.00,30.00,15.00,98.00,2.00,50
36.00,30.00,15.00,98.00,2.00,50
38.00,5.65,4096.00,0.00,100.00,50
38.00,4.07,262144.00,0.00,100.00,50
34.00,30.00,15.00,98.00,2.00,50
32.00,5.65,4096.00,0.00,100.00,50
36.00,30.00,9.00,98.00,2.00,50
32.00,4.07,262144.00,0.00,100.00,50
36.00,5.65,4096.00,0.00,100.00,50
32.00,30.00,15.00,98.00,2.00,50
36.00,30.00,12.00,98.00,2.00,50
30.00,30.00,18.00,98.00,2.00,50
30.00,7.92,512.00,0.00,100.00,50
38.00,4.64,32768.00,0.00,100.00,50
34.00,30.00,18.00,98.00,2.00,50
34.00,7.92,512.00,0.00,100.00,50
38.00,16.77,64.00,98.00,2.00,50
32.00,30.00,9.00,98.00,2.00,50
34.00,4.07,262144.00,0.00,100.00,50
32.00,7.92,512.00,4.00,96.00,50
30.00,16.77,64.00,98.00,2.00,50
40.00,30.00,15.00,98.00,2.00,50
40.00,5.65,4096.00,0.00,100.00,50
30.00,4.07,262144.00,0.00,100.00,50
38.00,30.00,12.00,98.00,2.00,50
40.00,30.00,6.00,98.00,2.00,50
32.00,30.00,12.00,98.00,2.00,50
32.00,30.00,18.00,98.00,2.00,50
30.00,30.00,9.00,98.00,2.00,50
34.00,4.64,32768.00,0.00,100.00,50
34.00,30.00,9.00,98.00,2.00,50
28.00,30.00,18.00,98.00,2.00,50
24.00,4.64,32768.00,0.00,100.00,50
24.00,5.65,4096.00,0.00,100.00,50
30.00,30.00,12.00,98.00,2.00,50
22.00,4.07,262144.00,0.00,100.00,50
30.00,5.65,4096.00,0.00,100.00,50
30.00,4.64,32768.00,0.00,100.00,50
30.00,30.00,6.00,98.00,2.00,50
26.00,5.65,4096.00,0.00,100.00,50
26.00,4.64,32768.00,0.00,100.00,50
28.00,4.07,262144.00,0.00,100.00,50
22.00,4.64,32768.00,0.00,100.00,50
30.00,30.00,15.00,98.00,2.00,50
28.00,4.64,32768.00,0.00,100.00,50
32.00,30.00,6.00,98.00,2.00,50
20.00,4.07,262144.00,0.00,100.00,50
24.00,4.07,262144.00,0.00,100.00,50
28.00,5.65,4096.00,0.00,100.00,50
28.00,30.00,9.00,98.00,2.00,50
26.00,7.92,512.00,0.00,100.00,50
28.00,16.77,64.00,98.00,2.00,50
22.00,5.65,4096.00,0.00,100.00,50
20.00,5.65,4096.00,0.00,100.00,50
28.00,30.00,6.00,98.00,2.00,50
20.00,4.64,32768.00,0.00,100.00,50
32.00,4.64,32768.00,0.00,100.00,50
26.00,30.00,18.00,98.00,2.00,50
26.00,30.00,6.00,98.00,2.00,50
24.00,7.92,512.00,0.00,100.00,50
20.00,30.00,9.00,98.00,2.00,50
28.00,7.92,512.00,0.00,100.00,50
24.00,30.00,12.00,98.00,2.00,50
26.00,30.00,12.00,98.00,2.00,50
28.00,30.00,15.00,98.00,2.00,50
28.00,30.00,12.00,98.00,2.00,50
20.00,7.92,512.00,0.00,100.00,50
26.00,30.00,15.00,98.00,2.00,50
26.00,30.00,9.00,98.00,2.00,50
24.00,30.00,6.00,98.00,2.00,50
22.00,30.00,9.00,98.00,2.00,50
24.00,30.00,15.00,56.00,44.00,50
26.00,16.77,64.00,98.00,2.00,50
22.00,30.00,15.00,22.00,78.00,50
22.00,30.00,18.00,20.00,80.00,50
24.00,16.77,64.00,98.00,2.00,50
20.00,30.00,12.00,22.00,78.00,50
24.00,30.00,18.00,36.00,64.00,50
22.00,7.92,512.00,0.00,100.00,50
20.00,30.00,6.00,98.00,2.00,50
20.00,16.77,64.00,18.00,82.00,50
22.00,30.00,6.00,98.00,2.00,50
20.00,30.00,15.00,14.00,86.00,50
22.00,30.00,12.00,52.00,48.00,50
24.00,30.00,9.00,98.00,2.00,50
22.00,16.77,64.00,26.00,74.00,50
20.00,30.00,18.00,14.00,86.00,50
