Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
26,5.649000,4096.000000,922893.770605,304691.000000,922893.770605,304691.000000,922893.770605,304691.000000,922893.770605,304691.000000,922893.770605,304691.000000,922893.770605,304691.000000
26,30.000000,15.000000,2514343.257584,41978.000000,2514343.257584,41978.000000,2514343.257584,41978.000000,2514343.257584,41978.000000,2514343.257584,41978.000000,2514343.257584,41978.000000
26,4.073000,262144.000000,534730.408643,366061.000000,534730.408643,366061.000000,534730.408643,366061.000000,534730.408643,366061.000000,534730.408643,366061.000000,534730.408643,366061.000000
26,4.639000,32768.000000,522676.959926,278530.000000,522676.959926,278530.000000,522676.959926,278530.000000,522676.959926,278530.000000,522676.959926,278530.000000,522676.959926,278530.000000
26,30.000000,18.000000,2933375.415830,52687.000000,2933375.415830,52687.000000,2933375.415830,52687.000000,2933375.415830,52687.000000,2933375.415830,52687.000000,2933375.415830,52687.000000
26,7.918000,512.000000,1724958.737475,281501.000000,1724958.737475,281501.000000,1487460.456112,207381.000000,1724958.737475,281501.000000,1724958.737475,281501.000000,1724958.737475,281501.000000
26,30.000000,12.000000,2542011.584061,44374.000000,2542011.584061,44374.000000,2542011.584061,44374.000000,2542011.584061,44374.000000,2542011.584061,44374.000000,2542011.584061,44374.000000
26,16.772000,64.000000,2418962.448452,42144.000000,2418962.448452,42144.000000,2418962.448452,42144.000000,2418962.448452,42144.000000,2418962.448452,42144.000000,2418962.448452,42144.000000
26,30.000000,9.000000,2646712.724215,44131.000000,2646712.724215,44131.000000,2646712.724215,44131.000000,2646712.724215,44131.000000,2646712.724215,44131.000000,2646712.724215,44131.000000
26,30.000000,6.000000,2399531.225946,43232.000000,2399531.225946,43232.000000,2399531.225946,43232.000000,2399531.225946,43232.000000,2399531.225946,43232.000000,2399531.225946,43232.000000
