Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
34,4.073000,262144.000000,382834.972088,373422.000000
34,4.639000,32768.000000,257548.448019,168341.000000
34,5.649000,4096.000000,112205.708469,70258.000000
34,7.918000,512.000000,38031.626602,15934.000000
34,16.772000,64.000000,51716.576056,18123.000000
34,30.000000,6.000000,51046.560922,8936.000000
34,30.000000,9.000000,37127.803167,9330.000000
34,30.000000,12.000000,34414.486528,6848.000000
34,30.000000,15.000000,48881.301906,10254.000000
34,30.000000,18.000000,49220.917271,9559.000000
