Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,BAL_L2_norm_flow_time,BAL_maximum_flow_time
40,4.073000,262144.000000,299087.756842,276267.000000
40,4.639000,32768.000000,64535.218687,56287.000000
40,5.649000,4096.000000,34895.114959,15076.000000
40,7.918000,512.000000,22484.397524,6530.000000
40,16.772000,64.000000,10880.805898,1562.000000
40,30.000000,6.000000,12464.773724,2256.000000
40,30.000000,9.000000,12838.125915,1711.000000
40,30.000000,12.000000,12859.315728,2037.000000
40,30.000000,15.000000,13255.414856,2218.000000
40,30.000000,18.000000,14824.919797,2315.000000
