Round,Algorithm_Used
1,RMLF
2,FCFS
3,RMLF
4,RMLF
5,RMLF
6,FCFS
7,RMLF
8,FCFS
9,RMLF
10,FCFS
11,RMLF
12,FCFS
13,RMLF
14,FCFS
15,RMLF
16,FCFS
17,RMLF
18,RMLF
19,RMLF
20,RMLF
21,RMLF
22,RMLF
23,FCFS
24,RMLF
25,RMLF
26,RMLF
27,RMLF
28,RMLF
29,RMLF
30,RMLF
31,FCFS
32,RMLF
33,RMLF
34,RMLF
35,RMLF
36,RMLF
37,FCFS
38,RMLF
39,RMLF
40,RMLF
41,FCFS
42,RMLF
43,RMLF
44,RMLF
45,RMLF
46,FCFS
47,RMLF
48,RMLF
49,RMLF
50,RMLF
51,RMLF
52,RMLF
53,FCFS
54,RMLF
55,RMLF
56,RMLF
57,RMLF
58,FCFS
59,RMLF
60,RMLF
61,FCFS
62,RMLF
63,FCFS
64,RMLF
65,RMLF
66,FCFS
67,RMLF
68,RMLF
69,FCFS
70,RMLF
71,RMLF
72,RMLF
73,FCFS
74,RMLF
75,RMLF
76,RMLF
77,RMLF
78,FCFS
79,RMLF
80,RMLF
81,RMLF
82,RMLF
83,RMLF
84,RMLF
85,FCFS
86,RMLF
87,RMLF
88,RMLF
89,RMLF
90,RMLF
91,RMLF
92,RMLF
93,RMLF
94,RMLF
95,RMLF
96,RMLF
97,FCFS
98,RMLF
99,RMLF
100,RMLF
101,RMLF
102,RMLF
