arrival_rate,L,FCFS_percentage,RMLF_percentage
20.0,16.772,98.3,1.7
20.0,7.918,98.3,1.7
20.0,5.649,98.5,1.5
20.0,4.639,99.1,0.9
20.0,4.073,97.6,2.4
22.0,16.772,98.4,1.6
22.0,7.918,98.4,1.6
22.0,5.649,98.1,1.9
22.0,4.639,97.6,2.4
22.0,4.073,98.6,1.4
24.0,16.772,98.4,1.6
24.0,7.918,98.5,1.5
24.0,5.649,98.6,1.4
24.0,4.639,98.0,2.0
24.0,4.073,97.9,2.1
26.0,16.772,98.3,1.7
26.0,7.918,98.2,1.8
26.0,5.649,98.3,1.7
26.0,4.639,98.3,1.7
26.0,4.073,98.0,2.0
28.0,16.772,98.4,1.6
28.0,7.918,98.3,1.7
28.0,5.649,98.5,1.5
28.0,4.639,98.4,1.6
28.0,4.073,99.5,0.5
30.0,16.772,98.4,1.6
30.0,7.918,98.4,1.6
30.0,5.649,98.5,1.5
30.0,4.639,99.0,1.0
30.0,4.073,98.7,1.3
32.0,16.772,98.4,1.6
32.0,7.918,98.5,1.5
32.0,5.649,98.4,1.6
32.0,4.639,98.7,1.3
32.0,4.073,98.5,1.5
34.0,16.772,98.5,1.5
34.0,7.918,98.6,1.4
34.0,5.649,98.7,1.3
34.0,4.639,98.5,1.5
34.0,4.073,98.9,1.1
36.0,16.772,98.6,1.4
36.0,7.918,98.6,1.4
36.0,5.649,98.6,1.4
36.0,4.639,98.6,1.4
36.0,4.073,98.6,1.4
38.0,16.772,98.6,1.4
38.0,7.918,98.7,1.3
38.0,5.649,98.8,1.2
38.0,4.639,98.7,1.3
38.0,4.073,98.7,1.3
40.0,16.772,98.8,1.2
40.0,7.918,98.8,1.2
40.0,5.649,98.8,1.2
40.0,4.639,98.7,1.3
40.0,4.073,98.8,1.2
