frequency,Dynamic_njobs500_mode0_L2_norm_flow_time,Dynamic_njobs500_mode0_maximum_flow_time,Dynamic_njobs500_mode1_L2_norm_flow_time,Dynamic_njobs500_mode1_maximum_flow_time,Dynamic_njobs500_mode2_L2_norm_flow_time,Dynamic_njobs500_mode2_maximum_flow_time,Dynamic_njobs500_mode4_L2_norm_flow_time,Dynamic_njobs500_mode4_maximum_flow_time,Dynamic_njobs500_mode8_L2_norm_flow_time,Dynamic_njobs500_mode8_maximum_flow_time,Dynamic_njobs500_mode16_L2_norm_flow_time,Dynamic_njobs500_mode16_maximum_flow_time
32,944955.054631,23488.000000,944955.054631,23488.000000,944955.054631,23488.000000,944955.054631,23488.000000,944955.054631,23488.000000,944955.054631,23488.000000
2,515551.347520,20918.000000,515551.347520,20918.000000,515551.347520,20918.000000,515551.347520,20918.000000,515551.347520,20918.000000,515551.347520,20918.000000
2048,642051.936532,12944.000000,642051.936532,12944.000000,642051.936532,12944.000000,642051.936532,12944.000000,642051.936532,12944.000000,642051.936532,12944.000000
8,502653.280264,28625.000000,502653.280264,28625.000000,502653.280264,28625.000000,502653.280264,28625.000000,502653.280264,28625.000000,502653.280264,28625.000000
64,994599.335828,16111.000000,994599.335828,16111.000000,994599.335828,16111.000000,994599.335828,16111.000000,994599.335828,16111.000000,994599.335828,16111.000000
4,522477.216703,23297.000000,522477.216703,23297.000000,522477.216703,23297.000000,522477.216703,23297.000000,522477.216703,23297.000000,522477.216703,23297.000000
1024,855782.994174,19439.000000,855782.994174,19439.000000,855782.994174,19439.000000,855782.994174,19439.000000,855782.994174,19439.000000,855782.994174,19439.000000
65536,1731536.811785,36695.000000,1731536.811785,36695.000000,1731536.811785,36695.000000,1731536.811785,36695.000000,1731536.811785,36695.000000,1731536.811785,36695.000000
256,966082.346684,23340.000000,966082.346684,23340.000000,966082.346684,23340.000000,966082.346684,23340.000000,966082.346684,23340.000000,966082.346684,23340.000000
8192,1133850.444919,28545.000000,1133850.444919,28545.000000,1133850.444919,28545.000000,1133850.444919,28545.000000,1133850.444919,28545.000000,1133850.444919,28545.000000
16,938196.933961,18578.000000,938196.933961,18578.000000,938196.933961,18578.000000,938196.933961,18578.000000,938196.933961,18578.000000,938196.933961,18578.000000
512,1264265.430437,27155.000000,1264265.430437,27155.000000,1264265.430437,27155.000000,1264265.430437,27155.000000,1264265.430437,27155.000000,1264265.430437,27155.000000
16384,1828348.993547,41763.000000,1828348.993547,41763.000000,1828348.993547,41763.000000,1828348.993547,41763.000000,1828348.993547,41763.000000,1828348.993547,41763.000000
128,848500.640324,20077.000000,848500.640324,20077.000000,848500.640324,20077.000000,848500.640324,20077.000000,848500.640324,20077.000000,848500.640324,20077.000000
4096,1425016.207424,23970.000000,1425016.207424,23970.000000,1425016.207424,23970.000000,1425016.207424,23970.000000,1425016.207424,23970.000000,1425016.207424,23970.000000
32768,2485526.947780,34358.000000,2485526.947780,34358.000000,2485526.947780,34358.000000,2485526.947780,34358.000000,2485526.947780,34358.000000,2485526.947780,34358.000000
