frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode1_maximum_flow_time,Dynamic_njobs100_mode2_maximum_flow_time,Dynamic_njobs100_mode3_maximum_flow_time,Dynamic_njobs100_mode4_maximum_flow_time,Dynamic_njobs100_mode5_maximum_flow_time,Dynamic_njobs100_mode6_maximum_flow_time
4,213856.949756,213446.472974,213446.472974,213446.472974,213446.472974,213446.472974,6123.000000,4023.000000,4023.000000,4023.000000,4023.000000,4023.000000
65536,1626565.942984,1626565.686205,1626561.786628,1626565.686205,1626565.686205,1626561.786628,36780.000000,36780.000000,36780.000000,36780.000000,36780.000000,36780.000000
2,408741.683327,408741.683327,408741.683327,408741.683327,408741.683327,408741.683327,7059.000000,7059.000000,7059.000000,7059.000000,7059.000000,7059.000000
4096,541044.651702,544264.769717,547548.754672,547548.754672,547548.754672,547537.134281,11310.000000,9213.000000,9213.000000,9213.000000,9213.000000,9213.000000
32768,657326.594483,671935.887334,676185.221665,676175.455828,676175.455828,676175.390283,19983.000000,18477.000000,18238.000000,18238.000000,18238.000000,18238.000000
8,628861.648428,628861.648428,628861.648428,628861.648428,628861.648428,628861.648428,11419.000000,11419.000000,11419.000000,11419.000000,11419.000000,11419.000000
32,824357.421038,824357.421038,824357.421038,824357.421038,824357.421038,824357.421038,12832.000000,12832.000000,12832.000000,12832.000000,12832.000000,12832.000000
16,810624.004406,812595.725813,812595.725813,812595.725813,812595.725813,812595.725813,13346.000000,13255.000000,13255.000000,13255.000000,13255.000000,13255.000000
64,900432.007300,901392.197874,901392.197874,901392.197874,901392.197874,901392.197874,15176.000000,15176.000000,15176.000000,15176.000000,15176.000000,15176.000000
256,1077758.159533,1077758.159533,1077758.159533,1077758.159533,1077758.159533,1077758.159533,20397.000000,20397.000000,20397.000000,20397.000000,20397.000000,20397.000000
512,1461282.708065,1461282.708065,1461282.708065,1461282.708065,1461282.708065,1461282.708065,24844.000000,24844.000000,24844.000000,24844.000000,24844.000000,24844.000000
1024,1331943.922992,1335802.007684,1335802.007684,1335802.007684,1335802.007684,1335802.007684,21722.000000,21722.000000,21722.000000,21722.000000,21722.000000,21722.000000
128,1234530.704026,1236527.277358,1236527.277358,1236527.277358,1236527.277358,1236527.277358,20519.000000,20519.000000,20519.000000,20519.000000,20519.000000,20519.000000
8192,1461218.481155,1463781.789396,1463781.789396,1463781.789396,1463781.789396,1463781.789396,23441.000000,23441.000000,23441.000000,23441.000000,23441.000000,23441.000000
2048,1361723.588748,1382991.451044,1382991.451044,1382991.451044,1382991.451044,1382991.451044,22158.000000,22158.000000,22158.000000,22158.000000,22158.000000,22158.000000
16384,2484664.455337,2618732.502999,2618732.502999,2623081.868840,2623081.868840,2623081.868840,74842.000000,40555.000000,40555.000000,40555.000000,40555.000000,40555.000000
