arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
40.00,30.00,9.00,99.00,1.00,100
32.00,30.00,6.00,99.00,1.00,100
40.00,5.65,4096.00,0.00,100.00,100
40.00,30.00,12.00,99.00,1.00,100
32.00,30.00,18.00,99.00,1.00,100
36.00,30.00,12.00,99.00,1.00,100
34.00,30.00,6.00,99.00,1.00,100
34.00,7.92,512.00,0.00,100.00,100
38.00,16.77,64.00,99.00,1.00,100
40.00,16.77,64.00,99.00,1.00,100
40.00,30.00,15.00,99.00,1.00,100
38.00,30.00,6.00,99.00,1.00,100
34.00,30.00,9.00,99.00,1.00,100
32.00,7.92,512.00,0.00,100.00,100
34.00,16.77,64.00,99.00,1.00,100
36.00,30.00,9.00,99.00,1.00,100
40.00,30.00,6.00,99.00,1.00,100
36.00,30.00,15.00,99.00,1.00,100
34.00,30.00,12.00,99.00,1.00,100
38.00,5.65,4096.00,0.00,100.00,100
36.00,7.92,512.00,0.00,100.00,100
32.00,4.07,262144.00,0.00,100.00,100
34.00,30.00,15.00,99.00,1.00,100
38.00,4.64,32768.00,0.00,100.00,100
32.00,30.00,9.00,99.00,1.00,100
38.00,4.07,262144.00,0.00,100.00,100
32.00,5.65,4096.00,0.00,100.00,100
36.00,30.00,18.00,99.00,1.00,100
36.00,16.77,64.00,99.00,1.00,100
34.00,30.00,18.00,99.00,1.00,100
38.00,30.00,12.00,99.00,1.00,100
38.00,7.92,512.00,0.00,100.00,100
30.00,5.65,4096.00,0.00,100.00,100
38.00,30.00,15.00,99.00,1.00,100
40.00,4.07,262144.00,0.00,100.00,100
32.00,30.00,15.00,99.00,1.00,100
36.00,30.00,6.00,99.00,1.00,100
40.00,4.64,32768.00,0.00,100.00,100
38.00,30.00,9.00,99.00,1.00,100
40.00,7.92,512.00,0.00,100.00,100
40.00,30.00,18.00,99.00,1.00,100
32.00,4.64,32768.00,0.00,100.00,100
36.00,5.65,4096.00,0.00,100.00,100
30.00,30.00,18.00,99.00,1.00,100
30.00,4.64,32768.00,0.00,100.00,100
32.00,16.77,64.00,99.00,1.00,100
38.00,30.00,18.00,99.00,1.00,100
30.00,7.92,512.00,0.00,100.00,100
32.00,30.00,12.00,99.00,1.00,100
34.00,5.65,4096.00,0.00,100.00,100
26.00,4.64,32768.00,0.00,100.00,100
28.00,4.07,262144.00,0.00,100.00,100
36.00,4.64,32768.00,0.00,100.00,100
30.00,30.00,6.00,99.00,1.00,100
26.00,4.07,262144.00,0.00,100.00,100
36.00,4.07,262144.00,0.00,100.00,100
30.00,30.00,12.00,99.00,1.00,100
30.00,4.07,262144.00,0.00,100.00,100
34.00,4.64,32768.00,0.00,100.00,100
30.00,30.00,9.00,99.00,1.00,100
28.00,4.64,32768.00,0.00,100.00,100
28.00,7.92,512.00,0.00,100.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,30.00,15.00,99.00,1.00,100
28.00,5.65,4096.00,0.00,100.00,100
24.00,7.92,512.00,0.00,100.00,100
26.00,5.65,4096.00,0.00,100.00,100
24.00,5.65,4096.00,0.00,100.00,100
26.00,30.00,15.00,84.00,16.00,100
34.00,4.07,262144.00,0.00,100.00,100
24.00,4.07,262144.00,0.00,100.00,100
28.00,16.77,64.00,99.00,1.00,100
28.00,30.00,15.00,98.00,2.00,100
28.00,30.00,18.00,89.00,11.00,100
20.00,5.65,4096.00,0.00,100.00,100
22.00,4.07,262144.00,0.00,100.00,100
26.00,7.92,512.00,0.00,100.00,100
28.00,30.00,9.00,99.00,1.00,100
20.00,16.77,64.00,79.00,21.00,100
28.00,30.00,12.00,99.00,1.00,100
22.00,4.64,32768.00,0.00,100.00,100
20.00,4.64,32768.00,0.00,100.00,100
24.00,4.64,32768.00,0.00,100.00,100
22.00,5.65,4096.00,0.00,100.00,100
22.00,7.92,512.00,0.00,100.00,100
28.00,30.00,6.00,99.00,1.00,100
26.00,30.00,6.00,99.00,1.00,100
20.00,4.07,262144.00,0.00,100.00,100
20.00,7.92,512.00,0.00,100.00,100
20.00,30.00,18.00,22.00,78.00,100
26.00,30.00,12.00,99.00,1.00,100
26.00,16.77,64.00,99.00,1.00,100
26.00,30.00,18.00,66.00,34.00,100
26.00,30.00,9.00,99.00,1.00,100
24.00,30.00,15.00,77.00,23.00,100
22.00,30.00,12.00,91.00,9.00,100
20.00,30.00,9.00,99.00,1.00,100
24.00,30.00,18.00,62.00,38.00,100
24.00,30.00,12.00,99.00,1.00,100
24.00,30.00,9.00,99.00,1.00,100
22.00,16.77,64.00,94.00,6.00,100
24.00,16.77,64.00,92.00,8.00,100
22.00,30.00,18.00,57.00,43.00,100
24.00,30.00,6.00,99.00,1.00,100
22.00,30.00,9.00,99.00,1.00,100
22.00,30.00,15.00,72.00,28.00,100
20.00,30.00,12.00,84.00,16.00,100
22.00,30.00,6.00,99.00,1.00,100
20.00,30.00,15.00,64.00,36.00,100
20.00,30.00,6.00,99.00,1.00,100
