arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
32.00,30.00,15.00,98.00,2.00,50
40.00,5.65,4096.00,0.00,100.00,50
34.00,30.00,15.00,98.00,2.00,50
32.00,16.77,64.00,98.00,2.00,50
30.00,30.00,15.00,98.00,2.00,50
36.00,30.00,6.00,98.00,2.00,50
40.00,30.00,9.00,98.00,2.00,50
38.00,7.92,512.00,0.00,100.00,50
38.00,4.07,262144.00,0.00,100.00,50
34.00,7.92,512.00,0.00,100.00,50
34.00,30.00,18.00,98.00,2.00,50
32.00,30.00,6.00,98.00,2.00,50
40.00,30.00,12.00,98.00,2.00,50
38.00,4.64,32768.00,0.00,100.00,50
30.00,7.92,512.00,40.00,60.00,50
36.00,7.92,512.00,0.00,100.00,50
40.00,16.77,64.00,98.00,2.00,50
38.00,30.00,12.00,98.00,2.00,50
30.00,4.07,262144.00,0.00,100.00,50
30.00,30.00,6.00,98.00,2.00,50
28.00,5.65,4096.00,0.00,100.00,50
34.00,4.64,32768.00,0.00,100.00,50
34.00,5.65,4096.00,0.00,100.00,50
38.00,30.00,9.00,98.00,2.00,50
36.00,5.65,4096.00,0.00,100.00,50
32.00,5.65,4096.00,0.00,100.00,50
32.00,4.07,262144.00,0.00,100.00,50
36.00,4.07,262144.00,0.00,100.00,50
36.00,4.64,32768.00,0.00,100.00,50
30.00,5.65,4096.00,0.00,100.00,50
30.00,30.00,12.00,98.00,2.00,50
26.00,4.07,262144.00,0.00,100.00,50
30.00,30.00,18.00,98.00,2.00,50
32.00,4.64,32768.00,0.00,100.00,50
30.00,30.00,9.00,98.00,2.00,50
28.00,7.92,512.00,0.00,100.00,50
28.00,30.00,12.00,98.00,2.00,50
34.00,4.07,262144.00,0.00,100.00,50
28.00,4.64,32768.00,0.00,100.00,50
28.00,16.77,64.00,98.00,2.00,50
40.00,4.07,262144.00,0.00,100.00,50
20.00,4.07,262144.00,0.00,100.00,50
22.00,5.65,4096.00,0.00,100.00,50
28.00,30.00,15.00,98.00,2.00,50
24.00,7.92,512.00,0.00,100.00,50
28.00,4.07,262144.00,0.00,100.00,50
26.00,7.92,512.00,0.00,100.00,50
24.00,4.64,32768.00,0.00,100.00,50
26.00,5.65,4096.00,0.00,100.00,50
28.00,30.00,9.00,98.00,2.00,50
22.00,4.07,262144.00,0.00,100.00,50
20.00,4.64,32768.00,0.00,100.00,50
26.00,30.00,12.00,98.00,2.00,50
24.00,4.07,262144.00,0.00,100.00,50
24.00,5.65,4096.00,0.00,100.00,50
22.00,4.64,32768.00,0.00,100.00,50
28.00,30.00,18.00,66.00,34.00,50
20.00,5.65,4096.00,0.00,100.00,50
28.00,30.00,6.00,98.00,2.00,50
26.00,30.00,15.00,92.00,8.00,50
22.00,7.92,512.00,0.00,100.00,50
26.00,30.00,9.00,98.00,2.00,50
26.00,30.00,6.00,98.00,2.00,50
26.00,30.00,18.00,60.00,40.00,50
20.00,7.92,512.00,0.00,100.00,50
24.00,30.00,18.00,62.00,38.00,50
26.00,16.77,64.00,98.00,2.00,50
24.00,30.00,12.00,98.00,2.00,50
24.00,16.77,64.00,90.00,10.00,50
24.00,30.00,15.00,82.00,18.00,50
24.00,30.00,9.00,98.00,2.00,50
22.00,30.00,15.00,70.00,30.00,50
24.00,30.00,6.00,98.00,2.00,50
20.00,30.00,15.00,60.00,40.00,50
22.00,16.77,64.00,82.00,18.00,50
22.00,30.00,18.00,50.00,50.00,50
22.00,30.00,12.00,88.00,12.00,50
20.00,30.00,18.00,36.00,64.00,50
20.00,30.00,12.00,86.00,14.00,50
22.00,30.00,9.00,98.00,2.00,50
22.00,30.00,6.00,98.00,2.00,50
20.00,30.00,9.00,98.00,2.00,50
20.00,16.77,64.00,72.00,28.00,50
20.00,30.00,6.00,98.00,2.00,50
