frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,115125140.231790,2234699.000000
4,117854033.058567,2178401.000000
8,118161718.974139,2237528.000000
16,121213061.276610,2214954.000000
32,123950956.981517,2401284.000000
64,118516612.589933,2227441.000000
128,121362735.100528,2243673.000000
256,122970987.960601,2251614.000000
512,118181273.636530,2231820.000000
1024,124855690.231890,2207981.000000
2048,133756904.026380,2261561.000000
4096,110105883.569044,2208093.000000
8192,103547358.309663,2165002.000000
16384,131934280.612303,2180165.000000
32768,139064674.359433,2502149.000000
65536,203161703.157442,2190379.000000
