frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time
8192,361197.284712,361196.997139,361196.997139,361196.997139,361196.997139,361196.997139
4,294581.945626,294581.945626,294581.945626,294581.945626,294581.945626,294581.945626
512,571931.834978,571931.834978,571931.834978,571931.834978,571931.834978,571931.834978
8,397634.295000,397634.295000,397634.295000,397634.295000,397634.295000,397634.295000
2,529586.711033,529586.711033,529586.711033,529586.711033,529586.711033,529586.711033
16,676303.404731,676303.404731,676303.404731,676303.404731,676303.404731,676303.404731
4096,766678.969680,767243.800284,767243.800284,767243.800284,767243.800284,767243.800284
32,778819.932348,778819.932348,778819.932348,778819.932348,778819.932348,778819.932348
1024,931322.442180,931322.442180,931322.442180,931322.442180,931322.442180,931322.442180
16384,621324.812722,621192.010792,621192.010792,621192.010792,621192.010792,621192.010792
256,1170060.315811,1170060.315811,1170060.315811,1170060.315811,1170060.315811,1170060.315811
64,1010888.398727,1012845.710556,1012845.710556,1012845.710556,1012845.710556,1012845.710556
128,770317.579167,770317.579167,770317.579167,770317.579167,770317.579167,770317.579167
2048,999590.578835,999590.578835,999590.578835,999590.578835,999590.578835,999590.578835
32768,842270.838098,842270.838098,842270.838098,842270.838098,842270.838098,842270.838098
65536,5949864.918666,5949864.918666,5949864.918666,5949864.918666,5949864.918666,5949864.918666
