arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
38.00,16.77,64,100.00,0.00,100
32.00,30.00,6,100.00,0.00,100
40.00,30.00,6,100.00,0.00,100
34.00,30.00,12,100.00,0.00,100
32.00,30.00,9,100.00,0.00,100
34.00,30.00,6,100.00,0.00,100
36.00,30.00,9,100.00,0.00,100
32.00,16.77,64,100.00,0.00,100
40.00,30.00,9,100.00,0.00,100
38.00,30.00,9,100.00,0.00,100
26.00,30.00,6,100.00,0.00,100
34.00,30.00,9,100.00,0.00,100
36.00,30.00,6,100.00,0.00,100
30.00,30.00,6,100.00,0.00,100
28.00,30.00,6,100.00,0.00,100
30.00,16.77,64,100.00,0.00,100
38.00,30.00,6,100.00,0.00,100
38.00,5.65,4096,1.00,99.00,100
26.00,16.77,64,100.00,0.00,100
34.00,16.77,64,100.00,0.00,100
20.00,4.07,262144,2.00,98.00,100
38.00,7.92,512,1.00,99.00,100
28.00,4.07,262144,1.00,99.00,100
26.00,4.07,262144,1.00,99.00,100
36.00,4.07,262144,1.00,99.00,100
24.00,30.00,12,100.00,0.00,100
32.00,30.00,12,100.00,0.00,100
34.00,4.64,32768,1.00,99.00,100
24.00,30.00,9,100.00,0.00,100
30.00,5.65,4096,1.01,98.99,99
32.00,4.64,32768,1.00,99.00,100
28.00,30.00,12,100.00,0.00,100
38.00,30.00,12,100.00,0.00,100
36.00,5.65,4096,2.00,98.00,100
20.00,7.92,512,1.00,99.00,100
30.00,30.00,9,100.00,0.00,100
30.00,4.64,32768,1.00,99.00,100
40.00,30.00,12,100.00,0.00,100
36.00,30.00,12,100.00,0.00,100
22.00,5.65,4096,1.00,99.00,100
40.00,16.77,64,100.00,0.00,100
28.00,16.77,64,100.00,0.00,100
30.00,30.00,12,100.00,0.00,100
34.00,7.92,512,1.00,99.00,100
26.00,30.00,9,100.00,0.00,100
34.00,4.07,262144,2.00,98.00,100
20.00,30.00,9,100.00,0.00,100
36.00,4.64,32768,1.00,99.00,100
32.00,5.65,4096,1.00,99.00,100
36.00,16.77,64,100.00,0.00,100
26.00,5.65,4096,1.01,98.99,99
24.00,16.77,64,100.00,0.00,100
30.00,4.07,262144,1.00,99.00,100
28.00,5.65,4096,1.00,99.00,100
24.00,5.65,4096,1.00,99.00,100
26.00,30.00,12,100.00,0.00,100
28.00,4.64,32768,1.00,99.00,100
20.00,4.64,32768,1.00,99.00,100
22.00,30.00,6,100.00,0.00,100
26.00,7.92,512,1.00,99.00,100
22.00,4.07,262144,1.00,99.00,100
40.00,4.07,262144,1.00,99.00,100
22.00,30.00,12,100.00,0.00,100
24.00,30.00,6,100.00,0.00,100
22.00,16.77,64,100.00,0.00,100
28.00,30.00,9,100.00,0.00,100
28.00,7.92,512,1.00,99.00,100
40.00,4.64,32768,1.00,99.00,100
20.00,16.77,64,100.00,0.00,100
32.00,7.92,512,1.00,99.00,100
22.00,30.00,9,100.00,0.00,100
40.00,7.92,512,1.00,99.00,100
24.00,4.07,262144,1.00,99.00,100
32.00,4.07,262144,1.00,99.00,100
36.00,7.92,512,1.00,99.00,100
24.00,7.92,512,1.00,99.00,100
40.00,5.65,4096,1.00,99.00,100
20.00,30.00,6,100.00,0.00,100
30.00,7.92,512,1.00,99.00,100
20.00,5.65,4096,1.00,99.00,100
22.00,7.92,512,1.00,99.00,100
24.00,4.64,32768,1.00,99.00,100
26.00,4.64,32768,1.00,99.00,100
38.00,4.64,32768,1.00,99.00,100
34.00,5.65,4096,1.00,99.00,100
20.00,30.00,12,100.00,0.00,100
22.00,4.64,32768,1.00,99.00,100
38.00,4.07,262144,1.00,99.00,100
