arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
40.00,30.00,9.00,100.00,0.00,199
40.00,30.00,12.00,100.00,0.00,199
36.00,30.00,15.00,100.00,0.00,199
36.00,16.77,64.00,100.00,0.00,199
34.00,30.00,9.00,100.00,0.00,199
40.00,30.00,18.00,100.00,0.00,199
36.00,30.00,9.00,100.00,0.00,199
38.00,30.00,15.00,100.00,0.00,199
32.00,16.77,64.00,100.00,0.00,199
38.00,30.00,9.00,100.00,0.00,199
38.00,16.77,64.00,100.00,0.00,199
36.00,30.00,6.00,100.00,0.00,199
36.00,30.00,12.00,100.00,0.00,199
32.00,30.00,18.00,100.00,0.00,199
32.00,30.00,12.00,100.00,0.00,199
32.00,30.00,6.00,100.00,0.00,199
32.00,30.00,15.00,100.00,0.00,199
38.00,30.00,12.00,100.00,0.00,199
40.00,30.00,15.00,100.00,0.00,199
40.00,30.00,6.00,100.00,0.00,199
34.00,16.77,64.00,100.00,0.00,199
34.00,30.00,12.00,100.00,0.00,199
38.00,30.00,18.00,100.00,0.00,199
38.00,30.00,6.00,100.00,0.00,199
34.00,30.00,18.00,100.00,0.00,199
34.00,30.00,6.00,100.00,0.00,199
40.00,16.77,64.00,100.00,0.00,199
32.00,30.00,9.00,100.00,0.00,199
34.00,30.00,15.00,100.00,0.00,199
30.00,30.00,6.00,100.00,0.00,199
36.00,30.00,18.00,100.00,0.00,199
30.00,30.00,9.00,100.00,0.00,199
20.00,4.07,262144.00,15.08,84.92,199
36.00,7.92,512.00,24.12,75.88,199
40.00,7.92,512.00,31.16,68.84,199
30.00,7.92,512.00,28.64,71.36,199
22.00,30.00,6.00,100.00,0.00,199
30.00,30.00,15.00,100.00,0.00,199
30.00,16.77,64.00,100.00,0.00,199
32.00,7.92,512.00,27.64,72.36,199
38.00,4.64,32768.00,16.08,83.92,199
26.00,30.00,9.00,100.00,0.00,199
22.00,4.64,32768.00,13.07,86.93,199
30.00,30.00,12.00,100.00,0.00,199
24.00,4.07,262144.00,13.57,86.43,199
28.00,30.00,15.00,100.00,0.00,199
26.00,4.07,262144.00,14.07,85.93,199
28.00,4.64,32768.00,21.61,78.39,199
28.00,30.00,6.00,100.00,0.00,199
34.00,5.65,4096.00,18.09,81.91,199
40.00,4.07,262144.00,19.60,80.40,199
36.00,4.07,262144.00,16.58,83.42,199
26.00,30.00,12.00,100.00,0.00,199
36.00,5.65,4096.00,15.08,84.92,199
26.00,16.77,64.00,100.00,0.00,199
28.00,30.00,9.00,100.00,0.00,199
20.00,5.65,4096.00,22.11,77.89,199
24.00,30.00,15.00,100.00,0.00,199
20.00,4.64,32768.00,13.13,86.87,198
24.00,30.00,6.00,100.00,0.00,199
24.00,5.65,4096.00,18.09,81.91,199
20.00,30.00,12.00,100.00,0.00,198
26.00,7.92,512.00,23.62,76.38,199
26.00,30.00,18.00,100.00,0.00,199
26.00,5.65,4096.00,20.71,79.29,198
28.00,16.77,64.00,100.00,0.00,199
30.00,30.00,18.00,100.00,0.00,199
28.00,30.00,12.00,100.00,0.00,199
38.00,5.65,4096.00,20.71,79.29,198
34.00,7.92,512.00,31.16,68.84,199
22.00,30.00,18.00,100.00,0.00,199
26.00,30.00,6.00,100.00,0.00,199
32.00,5.65,4096.00,18.59,81.41,199
26.00,30.00,15.00,100.00,0.00,199
38.00,4.07,262144.00,18.09,81.91,199
32.00,4.07,262144.00,18.09,81.91,199
40.00,5.65,4096.00,17.59,82.41,199
28.00,5.65,4096.00,13.71,86.29,197
28.00,30.00,18.00,100.00,0.00,199
24.00,30.00,18.00,100.00,0.00,199
30.00,4.64,32768.00,14.72,85.28,197
22.00,30.00,9.00,100.00,0.00,199
22.00,7.92,512.00,22.61,77.39,199
30.00,5.65,4096.00,24.12,75.88,199
20.00,30.00,9.00,100.00,0.00,198
28.00,7.92,512.00,27.64,72.36,199
22.00,16.77,64.00,100.00,0.00,199
26.00,4.64,32768.00,21.61,78.39,199
24.00,30.00,9.00,100.00,0.00,198
34.00,4.07,262144.00,15.58,84.42,199
38.00,7.92,512.00,30.15,69.85,199
24.00,16.77,64.00,100.00,0.00,199
34.00,4.64,32768.00,18.18,81.82,198
36.00,4.64,32768.00,14.57,85.43,199
24.00,30.00,12.00,100.00,0.00,199
22.00,4.07,262144.00,14.57,85.43,199
28.00,4.07,262144.00,17.09,82.91,199
30.00,4.07,262144.00,13.57,86.43,199
22.00,30.00,15.00,100.00,0.00,199
22.00,5.65,4096.00,21.11,78.89,199
20.00,7.92,512.00,26.77,73.23,198
40.00,4.64,32768.00,19.60,80.40,199
32.00,4.64,32768.00,15.58,84.42,199
20.00,30.00,15.00,100.00,0.00,198
24.00,7.92,512.00,31.16,68.84,199
20.00,30.00,18.00,100.00,0.00,198
22.00,30.00,12.00,100.00,0.00,199
24.00,4.64,32768.00,13.57,86.43,199
20.00,30.00,6.00,100.00,0.00,199
20.00,16.77,64.00,100.00,0.00,199
36.00,30.00,18.00,100.00,0.00,199
40.00,30.00,12.00,100.00,0.00,199
38.00,30.00,18.00,100.00,0.00,199
38.00,30.00,6.00,100.00,0.00,199
36.00,30.00,12.00,100.00,0.00,199
34.00,30.00,12.00,100.00,0.00,199
40.00,30.00,18.00,100.00,0.00,199
40.00,30.00,15.00,100.00,0.00,199
34.00,30.00,15.00,100.00,0.00,199
40.00,16.77,64.00,100.00,0.00,199
32.00,30.00,6.00,100.00,0.00,199
36.00,16.77,64.00,100.00,0.00,199
40.00,30.00,6.00,100.00,0.00,199
36.00,30.00,9.00,100.00,0.00,199
32.00,30.00,15.00,100.00,0.00,199
32.00,30.00,18.00,100.00,0.00,199
34.00,30.00,18.00,100.00,0.00,199
32.00,16.77,64.00,100.00,0.00,199
40.00,30.00,9.00,100.00,0.00,199
38.00,30.00,12.00,100.00,0.00,199
34.00,30.00,9.00,100.00,0.00,199
34.00,16.77,64.00,100.00,0.00,199
32.00,30.00,12.00,100.00,0.00,199
36.00,30.00,15.00,100.00,0.00,199
38.00,30.00,15.00,100.00,0.00,199
34.00,30.00,6.00,100.00,0.00,199
38.00,16.77,64.00,100.00,0.00,199
38.00,30.00,9.00,100.00,0.00,199
32.00,30.00,9.00,100.00,0.00,199
30.00,30.00,15.00,100.00,0.00,199
36.00,30.00,6.00,100.00,0.00,199
30.00,30.00,18.00,100.00,0.00,199
30.00,30.00,9.00,100.00,0.00,199
30.00,30.00,6.00,100.00,0.00,199
30.00,16.77,64.00,100.00,0.00,199
24.00,4.64,32768.00,17.09,82.91,199
38.00,7.92,512.00,23.62,76.38,199
38.00,5.65,4096.00,21.61,78.39,199
24.00,30.00,12.00,100.00,0.00,199
30.00,30.00,12.00,100.00,0.00,199
26.00,30.00,6.00,100.00,0.00,199
36.00,7.92,512.00,26.63,73.37,199
38.00,4.07,262144.00,15.58,84.42,199
28.00,5.65,4096.00,21.61,78.39,199
28.00,30.00,15.00,100.00,0.00,199
32.00,5.65,4096.00,14.07,85.93,199
32.00,7.92,512.00,26.13,73.87,199
36.00,4.07,262144.00,22.61,77.39,199
28.00,30.00,18.00,100.00,0.00,199
36.00,4.64,32768.00,20.60,79.40,199
26.00,30.00,9.00,100.00,0.00,199
34.00,4.64,32768.00,17.09,82.91,199
28.00,30.00,12.00,100.00,0.00,199
26.00,30.00,15.00,100.00,0.00,199
40.00,5.65,4096.00,19.10,80.90,199
28.00,30.00,6.00,100.00,0.00,199
24.00,30.00,6.00,100.00,0.00,199
28.00,16.77,64.00,100.00,0.00,199
22.00,7.92,512.00,22.22,77.78,198
30.00,5.65,4096.00,17.09,82.91,199
34.00,7.92,512.00,23.12,76.88,199
24.00,30.00,9.00,100.00,0.00,199
30.00,7.92,512.00,28.64,71.36,199
28.00,30.00,9.00,100.00,0.00,199
34.00,5.65,4096.00,20.41,79.59,196
26.00,16.77,64.00,100.00,0.00,198
20.00,7.92,512.00,32.16,67.84,199
32.00,4.07,262144.00,22.61,77.39,199
40.00,7.92,512.00,25.63,74.37,199
26.00,30.00,12.00,100.00,0.00,199
38.00,4.64,32768.00,20.10,79.90,199
24.00,7.92,512.00,33.33,66.67,198
20.00,5.65,4096.00,17.09,82.91,199
36.00,5.65,4096.00,16.08,83.92,199
22.00,30.00,18.00,100.00,0.00,199
22.00,4.64,32768.00,16.58,83.42,199
30.00,4.07,262144.00,12.63,87.37,198
30.00,4.64,32768.00,18.59,81.41,199
28.00,4.64,32768.00,15.08,84.92,199
40.00,4.07,262144.00,18.59,81.41,199
28.00,7.92,512.00,28.14,71.86,199
20.00,4.64,32768.00,16.08,83.92,199
22.00,5.65,4096.00,19.60,80.40,199
