arrival_rate,bp_L,bp_H,FCFS_percentage,RMLF_percentage,total_rounds
24.00,90.00,18,100.00,0.00,98
24.00,19.70,4096,1.02,98.98,98
26.00,90.00,27,100.00,0.00,98
32.00,90.00,36,100.00,0.00,99
30.00,90.00,27,100.00,0.00,99
36.00,32.30,512,100.00,0.00,98
32.00,15.30,32768,1.01,98.99,99
40.00,90.00,27,100.00,0.00,100
30.00,90.00,18,100.00,0.00,98
40.00,32.30,512,100.00,0.00,99
24.00,32.30,512,100.00,0.00,98
36.00,90.00,18,100.00,0.00,99
22.00,13.00,262144,1.02,98.98,98
28.00,90.00,36,100.00,0.00,99
38.00,90.00,27,100.00,0.00,99
20.00,32.30,512,100.00,0.00,96
22.00,90.00,36,100.00,0.00,97
36.00,90.00,36,100.00,0.00,99
28.00,90.00,18,100.00,0.00,98
20.00,90.00,18,100.00,0.00,97
34.00,32.30,512,100.00,0.00,99
28.00,90.00,27,100.00,0.00,98
24.00,90.00,36,100.00,0.00,98
20.00,90.00,36,100.00,0.00,97
30.00,32.30,512,98.99,1.01,99
30.00,15.30,32768,1.01,98.99,99
20.00,19.70,4096,1.05,98.95,95
26.00,90.00,36,100.00,0.00,98
34.00,13.00,262144,1.00,99.00,100
28.00,32.30,512,100.00,0.00,98
24.00,13.00,262144,1.00,99.00,100
34.00,90.00,18,100.00,0.00,99
38.00,90.00,36,100.00,0.00,99
20.00,15.30,32768,2.02,97.98,99
40.00,90.00,18,100.00,0.00,99
30.00,13.00,262144,1.03,98.97,97
36.00,19.70,4096,1.01,98.99,99
40.00,90.00,36,100.00,0.00,99
32.00,90.00,27,100.00,0.00,99
38.00,90.00,18,100.00,0.00,99
34.00,15.30,32768,1.01,98.99,99
32.00,32.30,512,100.00,0.00,99
38.00,13.00,262144,1.00,99.00,100
26.00,32.30,512,100.00,0.00,98
34.00,90.00,36,100.00,0.00,99
36.00,90.00,27,100.00,0.00,99
26.00,19.70,4096,1.02,98.98,98
32.00,19.70,4096,1.01,98.99,99
38.00,32.30,512,100.00,0.00,99
32.00,90.00,18,100.00,0.00,99
22.00,32.30,512,100.00,0.00,98
34.00,90.00,27,100.00,0.00,99
22.00,90.00,27,100.00,0.00,97
40.00,13.00,262144,2.00,98.00,100
22.00,19.70,4096,1.02,98.98,98
36.00,13.00,262144,1.01,98.99,99
36.00,15.30,32768,1.01,98.99,99
28.00,15.30,32768,1.01,98.99,99
30.00,90.00,36,100.00,0.00,98
30.00,19.70,4096,1.02,98.98,98
38.00,19.70,4096,1.01,98.99,99
26.00,90.00,18,100.00,0.00,98
40.00,19.70,4096,1.01,98.99,99
26.00,15.30,32768,1.02,98.98,98
20.00,90.00,27,100.00,0.00,97
22.00,15.30,32768,1.01,98.99,99
34.00,19.70,4096,1.01,98.99,99
26.00,13.00,262144,1.01,98.99,99
24.00,90.00,27,100.00,0.00,98
28.00,13.00,262144,1.01,98.99,99
28.00,19.70,4096,1.01,98.99,99
38.00,15.30,32768,2.00,98.00,100
22.00,90.00,18,100.00,0.00,97
40.00,15.30,32768,1.00,99.00,100
24.00,15.30,32768,1.03,98.97,97
20.00,13.00,262144,1.00,99.00,100
32.00,13.00,262144,1.00,99.00,100
