frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,116352631.932331,2219287.000000
4,115994611.644947,2253688.000000
8,117317321.643775,2155847.000000
16,120392477.745634,2237752.000000
32,121253991.911628,2243569.000000
64,123806495.688794,2286323.000000
128,123920396.668542,2244494.000000
256,120430382.181775,2199583.000000
512,116673502.777765,2264238.000000
1024,125688909.225622,2258979.000000
2048,113566178.961779,2184295.000000
4096,117277947.483549,2087999.000000
8192,129758653.719483,2223583.000000
16384,85958527.811557,1999272.000000
32768,166962559.855983,2393493.000000
65536,153545514.466758,2091884.000000
