frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,116386902.573015,2324438.000000
4,118194722.367146,2343248.000000
8,120513994.672088,2281856.000000
16,119441543.572249,2304052.000000
32,121751714.673718,2286776.000000
64,120916956.409466,2271322.000000
128,122308904.277793,2199373.000000
256,127307867.994831,2291869.000000
512,127497044.192622,2273982.000000
1024,117589649.603813,2188056.000000
2048,127293219.284238,2277915.000000
4096,125892709.487812,2298050.000000
8192,125218671.412760,2237948.000000
16384,142383864.709211,2122981.000000
32768,109903924.487171,2157010.000000
65536,197693235.424922,2256624.000000
