frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,117861673.714635,2277632.000000
4,118379491.306109,2284394.000000
8,118241512.879088,2340508.000000
16,117593802.394256,2151694.000000
32,119404684.838513,2333087.000000
64,123560113.990635,2206029.000000
128,122671031.659596,2175233.000000
256,122273065.030766,2243904.000000
512,127951450.488688,2252906.000000
1024,126211072.301303,2246841.000000
2048,123597213.135264,2193107.000000
4096,127246523.377845,2310737.000000
8192,125888929.108976,2203182.000000
16384,108063105.530126,2117908.000000
32768,128396677.219254,2211634.000000
65536,157898916.166645,2259287.000000
