frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,2179101.907508,1078799.000000
4,265572946.007907,3540543.000000
8,132445365.900384,2288747.000000
16,265388334.134614,3420120.000000
32,1167003.468973,507281.000000
64,128448546.413656,2166055.000000
128,269652036.682446,3641981.000000
256,1417149.483550,460449.000000
512,3225472.306898,737394.000000
1024,1781668.575528,580382.000000
2048,137373736.799129,2434896.000000
4096,148226014.472380,2186530.000000
8192,357893808.254545,3444123.000000
16384,9984747.743151,763702.000000
32768,5027807.354803,888508.000000
65536,322661405.630771,3549609.000000
