frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,2727592.950712,896023.000000
4,132217802.982615,2350082.000000
8,264050552.539473,3974305.000000
16,263871835.593384,3712140.000000
32,263299554.834191,3411298.000000
64,133493334.572962,2337487.000000
128,273197758.793115,3373165.000000
256,130158013.241296,2351253.000000
512,3143684.655835,960749.000000
1024,142893255.545584,2316023.000000
2048,233557410.248748,3555834.000000
4096,2941742.701131,678260.000000
8192,352130422.104043,3023510.000000
16384,149163562.855184,2284492.000000
32768,164941985.286271,2254804.000000
65536,250200438.031741,3666444.000000
