frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time
2,131673041.206105,2249652.000000
4,259791339.014338,3382883.000000
8,1627492.313855,459796.000000
16,130426943.951863,2263368.000000
32,134936508.351790,2270676.000000
64,3340475.583534,1031345.000000
128,2216492.463713,863509.000000
256,145360207.716525,2307975.000000
512,1912838.243514,1011438.000000
1024,127860517.688665,2294467.000000
2048,153510008.240593,2337016.000000
4096,155813923.313519,2201243.000000
8192,107393580.794011,2199585.000000
16384,322848258.758445,3776424.000000
32768,13940840.726123,759486.000000
65536,368618225.107198,3182188.000000
