arrival_rate,L,FCFS_percentage,RMLF_percentage
20.0,16.772,99.7,0.3
20.0,7.918,99.7,0.3
20.0,5.649,99.4,0.6
20.0,4.639,99.8,0.2
20.0,4.073,99.1,0.9
22.0,16.772,99.7,0.3
22.0,7.918,99.7,0.3
22.0,5.649,99.6,0.4
22.0,4.639,99.5,0.5
22.0,4.073,99.7,0.3
24.0,16.772,99.7,0.3
24.0,7.918,99.7,0.3
24.0,5.649,99.7,0.3
24.0,4.639,99.2,0.8
24.0,4.073,99.2,0.8
26.0,16.772,99.7,0.3
26.0,7.918,99.6,0.4
26.0,5.649,99.3,0.7
26.0,4.639,99.7,0.3
26.0,4.073,99.2,0.8
28.0,16.772,99.7,0.3
28.0,7.918,99.7,0.3
28.0,5.649,99.7,0.3
28.0,4.639,99.7,0.3
28.0,4.073,99.8,0.2
30.0,16.772,99.7,0.3
30.0,7.918,99.7,0.3
30.0,5.649,99.7,0.3
30.0,4.639,99.8,0.2
30.0,4.073,99.5,0.5
32.0,16.772,99.7,0.3
32.0,7.918,99.7,0.3
32.0,5.649,99.7,0.3
32.0,4.639,99.7,0.3
32.0,4.073,99.7,0.3
34.0,16.772,99.7,0.3
34.0,7.918,99.7,0.3
34.0,5.649,99.7,0.3
34.0,4.639,99.7,0.3
34.0,4.073,99.8,0.2
36.0,16.772,99.7,0.3
36.0,7.918,99.7,0.3
36.0,5.649,99.7,0.3
36.0,4.639,99.7,0.3
36.0,4.073,99.4,0.6
38.0,16.772,99.7,0.3
38.0,7.918,99.7,0.3
38.0,5.649,99.5,0.5
38.0,4.639,99.7,0.3
38.0,4.073,99.7,0.3
40.0,16.772,99.8,0.2
40.0,7.918,99.5,0.5
40.0,5.649,99.8,0.2
40.0,4.639,99.5,0.5
40.0,4.073,99.5,0.5
