arrival_rate,L,FCFS_percentage,RMLF_percentage
20.0,16.772,83.3,16.7
20.0,7.918,83.3,16.7
20.0,5.649,83.3,16.7
20.0,4.639,90.9,9.1
20.0,4.073,50.0,50.0
22.0,16.772,83.3,16.7
22.0,7.918,83.3,16.7
22.0,5.649,80.0,20.0
22.0,4.639,75.0,25.0
22.0,4.073,71.4,28.6
24.0,16.772,83.3,16.7
24.0,7.918,83.3,16.7
24.0,5.649,85.7,14.3
24.0,4.639,75.0,25.0
24.0,4.073,75.0,25.0
26.0,16.772,83.3,16.7
26.0,7.918,80.0,20.0
26.0,5.649,60.0,40.0
26.0,4.639,66.7,33.3
26.0,4.073,80.0,20.0
28.0,16.772,83.3,16.7
28.0,7.918,80.0,20.0
28.0,5.649,83.3,16.7
28.0,4.639,83.3,16.7
28.0,4.073,90.0,10.0
30.0,16.772,83.3,16.7
30.0,7.918,83.3,16.7
30.0,5.649,66.7,33.3
30.0,4.639,80.0,20.0
30.0,4.073,71.4,28.6
32.0,16.772,83.3,16.7
32.0,7.918,83.3,16.7
32.0,5.649,83.3,16.7
32.0,4.639,71.4,28.6
32.0,4.073,66.7,33.3
34.0,16.772,83.3,16.7
34.0,7.918,71.4,28.6
34.0,5.649,85.7,14.3
34.0,4.639,66.7,33.3
34.0,4.073,77.8,22.2
36.0,16.772,85.7,14.3
36.0,7.918,85.7,14.3
36.0,5.649,71.4,28.6
36.0,4.639,85.7,14.3
36.0,4.073,71.4,28.6
38.0,16.772,85.7,14.3
38.0,7.918,71.4,28.6
38.0,5.649,87.5,12.5
38.0,4.639,71.4,28.6
38.0,4.073,71.4,28.6
40.0,16.772,75.0,25.0
40.0,7.918,87.5,12.5
40.0,5.649,87.5,12.5
40.0,4.639,71.4,28.6
40.0,4.073,75.0,25.0
