arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage,total_rounds
24.00,15.30,32768,0.00,100.00,100
28.00,15.30,32768,0.00,100.00,100
20.00,13.00,262144,0.00,100.00,100
28.00,19.70,4096,0.00,100.00,100
24.00,13.00,262144,0.00,100.00,100
26.00,13.00,262144,0.00,100.00,100
38.00,19.70,4096,0.00,100.00,100
26.00,15.30,32768,0.00,100.00,100
28.00,32.30,512,0.00,100.00,100
26.00,90.00,18,95.00,5.00,100
36.00,90.00,27,99.00,1.00,100
30.00,13.00,262144,0.00,100.00,100
32.00,13.00,262144,0.00,100.00,100
22.00,15.30,32768,0.00,100.00,100
22.00,13.00,262144,0.00,100.00,100
32.00,15.30,32768,0.00,100.00,100
28.00,13.00,262144,0.00,100.00,100
22.00,19.70,4096,0.00,100.00,100
40.00,13.00,262144,0.00,100.00,100
34.00,15.30,32768,0.00,100.00,100
40.00,15.30,32768,1.00,99.00,100
24.00,19.70,4096,0.00,100.00,100
26.00,19.70,4096,0.00,100.00,100
20.00,19.70,4096,0.00,100.00,100
24.00,32.30,512,0.00,100.00,100
20.00,15.30,32768,0.00,100.00,100
20.00,32.30,512,0.00,100.00,100
38.00,32.30,512,0.00,100.00,100
20.00,90.00,36,0.00,100.00,100
24.00,90.00,36,0.00,100.00,100
30.00,15.30,32768,0.00,100.00,100
36.00,13.00,262144,0.00,100.00,100
40.00,90.00,36,64.00,36.00,100
20.00,90.00,18,0.00,100.00,100
30.00,90.00,36,0.00,100.00,100
30.00,90.00,18,97.00,3.00,100
22.00,90.00,36,0.00,100.00,100
26.00,90.00,36,0.00,100.00,100
20.00,90.00,27,0.00,100.00,100
36.00,15.30,32768,0.00,100.00,100
34.00,19.70,4096,0.00,100.00,100
22.00,32.30,512,0.00,100.00,100
26.00,32.30,512,0.00,100.00,100
32.00,90.00,27,65.00,35.00,100
38.00,15.30,32768,0.00,100.00,100
32.00,90.00,18,99.00,1.00,100
22.00,90.00,18,23.00,77.00,100
30.00,19.70,4096,0.00,100.00,100
24.00,90.00,27,0.00,100.00,100
38.00,90.00,18,99.00,1.00,100
32.00,19.70,4096,0.00,100.00,100
24.00,90.00,18,59.00,41.00,100
32.00,32.30,512,0.00,100.00,100
34.00,13.00,262144,0.00,100.00,100
38.00,13.00,262144,0.00,100.00,100
34.00,90.00,27,85.00,15.00,100
36.00,90.00,18,99.00,1.00,100
40.00,90.00,18,99.00,1.00,100
40.00,19.70,4096,0.00,100.00,100
38.00,90.00,27,96.00,4.00,100
34.00,32.30,512,0.00,100.00,100
30.00,90.00,27,25.00,75.00,100
34.00,90.00,18,99.00,1.00,100
36.00,32.30,512,0.00,100.00,100
30.00,32.30,512,0.00,100.00,100
40.00,90.00,27,99.00,1.00,100
36.00,90.00,36,14.00,86.00,100
32.00,90.00,36,1.00,99.00,100
40.00,32.30,512,0.00,100.00,100
26.00,90.00,27,0.00,100.00,100
34.00,90.00,36,7.00,93.00,100
28.00,90.00,18,99.00,1.00,100
36.00,19.70,4096,0.00,100.00,100
28.00,90.00,27,1.00,99.00,100
28.00,90.00,36,0.00,100.00,100
22.00,90.00,27,0.00,100.00,100
38.00,90.00,36,33.00,67.00,100
