arrival_rate,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time
20,8.5,262144,39470163.899739
20,9.8,32768,51369416.8242983
20,12.4,4096,74468610.036172
20,18.9,512,118538777.2839512
20,56.3,64,208520855.4435596
20,60.0,12,194614967.3888405
20,60.0,18,185483055.68222088
20,60.0,24,176985572.1674405
20,100.0,50,10046937.1920885
20,500.0,200,59534422.79054229
20,2000.0,800,245248788.05761465
22,8.5,262144,35558910.913376495
22,9.8,32768,47600502.4633601
22,12.4,4096,69725390.63999751
22,18.9,512,113792081.5482384
22,56.3,64,202615653.6887422
22,60.0,12,189030143.1982258
22,60.0,18,179859774.8461118
22,60.0,24,171763301.39136818
22,100.0,50,9870902.2957946
22,500.0,200,59336714.013099395
22,2000.0,800,243538938.23142028
24,8.5,262144,32012157.582966603
24,9.8,32768,43490300.767299995
24,12.4,4096,65434200.6467187
24,18.9,512,109297716.07238118
24,56.3,64,195744721.71102592
24,60.0,12,182715053.11641288
24,60.0,18,174294261.8380144
24,60.0,24,166362534.4635188
24,100.0,50,9776428.7472835
24,500.0,200,59161288.104491904
24,2000.0,800,244154389.51114902
26,8.5,262144,28602471.2718892
26,9.8,32768,39521199.41134559
26,12.4,4096,60908905.7897619
26,18.9,512,104401724.06096372
26,56.3,64,189409857.75237992
26,60.0,12,177162109.39972702
26,60.0,18,168713256.76017982
26,60.0,24,160926127.8629841
26,100.0,50,9606066.6037536
26,500.0,200,58914791.379315
26,2000.0,800,243198167.49728388
28,8.5,262144,25411455.6105689
28,9.8,32768,36097941.9924587
28,12.4,4096,57481696.8845212
28,18.9,512,99279444.23069279
28,56.3,64,183485043.27201086
28,60.0,12,171593513.45812508
28,60.0,18,163125744.6401025
28,60.0,24,155670150.0604443
28,100.0,50,9415189.548145901
28,500.0,200,58932370.340307996
28,2000.0,800,243958637.09003648
30,8.5,262144,22201472.700558502
30,9.8,32768,32131208.8241825
30,12.4,4096,53093115.3841028
30,18.9,512,94330730.56574711
30,56.3,64,178004510.2974672
30,60.0,12,165264787.5513471
30,60.0,18,157977604.3144369
30,60.0,24,150045104.36987218
30,100.0,50,9277690.5479615
30,500.0,200,58898197.3793609
30,2000.0,800,242766361.5532487
32,8.5,262144,19464285.5958907
32,9.8,32768,29103875.522318702
32,12.4,4096,48736638.1566174
32,18.9,512,89304533.2423088
32,56.3,64,170541796.3419168
32,60.0,12,160258005.1711629
32,60.0,18,151431053.62700412
32,60.0,24,144621061.29785854
32,100.0,50,9114551.066943401
32,500.0,200,58463150.3018112
32,2000.0,800,243428498.47840434
34,8.5,262144,16965338.564140297
34,9.8,32768,25873191.6669395
34,12.4,4096,45239861.576985106
34,18.9,512,84314356.8526356
34,56.3,64,163611623.06763092
34,60.0,12,153827002.1602725
34,60.0,18,145738294.5244938
34,60.0,24,138834686.1871286
34,100.0,50,8907130.917165402
34,500.0,200,58242507.7111794
34,2000.0,800,243283743.0739347
36,8.5,262144,14508864.1982374
36,9.8,32768,23139469.8923192
36,12.4,4096,42281795.6070369
36,18.9,512,79529011.6418096
36,56.3,64,157441508.3176092
36,60.0,12,147318959.37542814
36,60.0,18,139282926.7327036
36,60.0,24,133395533.39818051
36,100.0,50,8737642.445981799
36,500.0,200,58180892.9849266
36,2000.0,800,242773843.6624834
38,8.5,262144,12618093.537619099
38,9.8,32768,20723664.4024433
38,12.4,4096,38163569.75828959
38,18.9,512,74062487.03365311
38,56.3,64,151751712.2939488
38,60.0,12,141003311.75849527
38,60.0,18,133111172.96199122
38,60.0,24,126787296.3536526
38,100.0,50,8650086.7011212
38,500.0,200,57901695.4756455
38,2000.0,800,243148176.58523402
40,8.5,262144,10300737.759752799
40,9.8,32768,17764075.780159496
40,12.4,4096,34629375.5187566
40,18.9,512,70061455.4851319
40,56.3,64,142197502.4680276
40,60.0,12,134465622.52099842
40,60.0,18,127350144.56539102
40,60.0,24,120547540.68791339
40,100.0,50,8406293.726383701
40,500.0,200,57683007.421797596
40,2000.0,800,241863695.00928885
