arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
36.00,13.00,262144,0.00,100.00,100
34.00,13.00,262144,0.00,100.00,100
40.00,15.30,32768,0.00,100.00,100
32.00,15.30,32768,0.00,100.00,100
32.00,13.00,262144,0.00,100.00,100
38.00,15.30,32768,0.00,100.00,100
38.00,13.00,262144,0.00,100.00,100
40.00,13.00,262144,0.00,100.00,100
38.00,19.70,4096,0.00,100.00,100
26.00,15.30,32768,0.00,100.00,100
34.00,19.70,4096,0.00,100.00,100
30.00,13.00,262144,0.00,100.00,100
36.00,15.30,32768,0.00,100.00,100
30.00,15.30,32768,0.00,100.00,100
24.00,13.00,262144,0.00,100.00,100
26.00,13.00,262144,0.00,100.00,100
32.00,19.70,4096,0.00,100.00,100
34.00,15.30,32768,0.00,100.00,100
28.00,13.00,262144,0.00,100.00,100
40.00,19.70,4096,0.00,100.00,100
34.00,32.30,512,0.00,100.00,100
38.00,32.30,512,0.00,100.00,100
22.00,90.00,27,0.00,100.00,100
28.00,15.30,32768,0.00,100.00,100
40.00,32.30,512,0.00,100.00,100
36.00,90.00,18,99.00,1.00,100
22.00,13.00,262144,0.00,100.00,100
20.00,13.00,262144,0.00,100.00,100
26.00,19.70,4096,0.00,100.00,100
20.00,19.70,4096,0.00,100.00,100
36.00,19.70,4096,0.00,100.00,100
24.00,15.30,32768,0.00,100.00,100
38.00,90.00,36,6.00,94.00,100
28.00,19.70,4096,0.00,100.00,100
40.00,90.00,18,99.00,1.00,100
30.00,19.70,4096,0.00,100.00,100
36.00,90.00,36,4.00,96.00,100
22.00,32.30,512,0.00,100.00,100
32.00,90.00,27,4.00,96.00,100
34.00,90.00,27,11.00,89.00,100
22.00,15.30,32768,0.00,100.00,100
38.00,90.00,18,99.00,1.00,100
22.00,19.70,4096,0.00,100.00,100
20.00,32.30,512,0.00,100.00,100
40.00,90.00,36,9.00,91.00,100
24.00,90.00,18,14.00,86.00,100
26.00,90.00,18,83.00,17.00,100
34.00,90.00,36,1.00,99.00,100
28.00,32.30,512,0.00,100.00,100
20.00,15.30,32768,0.00,100.00,100
26.00,32.30,512,0.00,100.00,100
24.00,19.70,4096,0.00,100.00,100
36.00,32.30,512,0.00,100.00,100
34.00,90.00,18,99.00,1.00,100
26.00,90.00,27,1.00,99.00,100
32.00,32.30,512,0.00,100.00,100
26.00,90.00,36,0.00,100.00,100
22.00,90.00,18,5.00,95.00,100
40.00,90.00,27,27.00,73.00,100
28.00,90.00,36,0.00,100.00,100
24.00,32.30,512,0.00,100.00,100
38.00,90.00,27,12.00,88.00,100
30.00,32.30,512,0.00,100.00,100
32.00,90.00,18,99.00,1.00,100
30.00,90.00,18,99.00,1.00,100
32.00,90.00,36,0.00,100.00,100
28.00,90.00,18,97.00,3.00,100
22.00,90.00,36,0.00,100.00,100
36.00,90.00,27,6.00,94.00,100
28.00,90.00,27,3.00,97.00,100
24.00,90.00,27,0.00,100.00,100
30.00,90.00,36,0.00,100.00,100
30.00,90.00,27,5.00,95.00,100
20.00,90.00,27,0.00,100.00,100
20.00,90.00,18,1.00,99.00,100
24.00,90.00,36,0.00,100.00,100
20.00,90.00,36,0.00,100.00,100
