Round,Algorithm_Used
1,RMLF
2,FCFS
3,FCFS
4,FCFS
5,FCFS
6,FCFS
7,FCFS
8,FCFS
9,FCFS
10,FCFS
11,FCFS
12,FCFS
13,FCFS
14,FCFS
15,FCFS
16,FCFS
17,FCFS
18,FCFS
19,FCFS
20,FCFS
21,FCFS
22,FCFS
23,FCFS
24,FCFS
25,FCFS
26,FCFS
27,FCFS
28,FCFS
29,FCFS
30,FCFS
31,FCFS
32,FCFS
33,FCFS
34,FCFS
35,FCFS
36,FCFS
37,FCFS
38,FCFS
39,FCFS
40,FCFS
41,FCFS
42,FCFS
43,FCFS
44,FCFS
45,FCFS
46,FCFS
47,FCFS
48,FCFS
49,FCFS
50,FCFS
51,FCFS
52,FCFS
53,FCFS
54,FCFS
55,FCFS
56,FCFS
57,FCFS
58,FCFS
59,FCFS
60,FCFS
61,FCFS
62,FCFS
63,FCFS
64,FCFS
65,FCFS
66,FCFS
67,FCFS
68,FCFS
69,FCFS
70,FCFS
71,FCFS
72,FCFS
73,FCFS
74,FCFS
75,FCFS
76,FCFS
77,FCFS
78,FCFS
79,FCFS
80,FCFS
81,FCFS
82,FCFS
83,FCFS
84,FCFS
85,FCFS
86,FCFS
87,FCFS
88,FCFS
89,FCFS
90,FCFS
91,FCFS
92,FCFS
93,FCFS
94,FCFS
95,FCFS
96,FCFS
97,FCFS
98,FCFS
99,FCFS
100,FCFS
101,FCFS
102,FCFS
103,FCFS
104,FCFS
105,FCFS
106,FCFS
107,FCFS
108,FCFS
109,FCFS
110,FCFS
111,FCFS
112,FCFS
113,FCFS
114,FCFS
115,FCFS
116,FCFS
117,FCFS
118,FCFS
119,FCFS
120,FCFS
121,FCFS
122,FCFS
123,FCFS
124,FCFS
125,FCFS
126,FCFS
127,FCFS
128,FCFS
129,FCFS
130,FCFS
131,FCFS
132,FCFS
133,FCFS
134,FCFS
135,FCFS
136,FCFS
137,FCFS
138,FCFS
139,FCFS
140,FCFS
141,FCFS
142,FCFS
143,FCFS
144,FCFS
145,FCFS
146,FCFS
147,FCFS
148,FCFS
149,FCFS
150,FCFS
151,FCFS
152,FCFS
153,FCFS
154,FCFS
155,FCFS
156,FCFS
157,FCFS
158,FCFS
159,FCFS
160,FCFS
161,FCFS
162,FCFS
163,FCFS
164,FCFS
165,FCFS
166,FCFS
167,FCFS
168,FCFS
169,FCFS
170,FCFS
171,FCFS
172,FCFS
173,FCFS
174,FCFS
175,FCFS
176,FCFS
177,FCFS
178,FCFS
179,FCFS
180,FCFS
181,FCFS
182,FCFS
183,FCFS
184,FCFS
185,FCFS
186,FCFS
187,FCFS
188,FCFS
189,FCFS
190,FCFS
191,FCFS
192,FCFS
193,FCFS
194,FCFS
195,FCFS
196,FCFS
197,FCFS
198,FCFS
199,FCFS
200,FCFS
201,FCFS
202,FCFS
203,FCFS
204,FCFS
205,FCFS
206,FCFS
207,FCFS
208,FCFS
209,FCFS
210,FCFS
211,FCFS
212,FCFS
213,FCFS
214,FCFS
215,FCFS
216,FCFS
217,FCFS
218,FCFS
219,FCFS
220,FCFS
221,FCFS
222,FCFS
223,FCFS
224,FCFS
225,FCFS
226,FCFS
227,FCFS
228,FCFS
229,FCFS
230,FCFS
231,FCFS
232,FCFS
233,FCFS
234,FCFS
235,FCFS
236,FCFS
237,FCFS
238,FCFS
239,FCFS
240,FCFS
241,FCFS
242,FCFS
243,FCFS
244,FCFS
245,FCFS
246,FCFS
247,FCFS
248,FCFS
249,FCFS
250,FCFS
251,FCFS
252,FCFS
253,FCFS
254,FCFS
255,FCFS
256,FCFS
257,FCFS
258,FCFS
259,FCFS
260,FCFS
261,FCFS
262,FCFS
263,FCFS
264,FCFS
265,FCFS
266,FCFS
267,FCFS
268,FCFS
269,FCFS
270,FCFS
271,FCFS
272,FCFS
273,FCFS
274,FCFS
275,FCFS
276,FCFS
277,FCFS
278,FCFS
279,FCFS
280,FCFS
281,FCFS
282,FCFS
283,FCFS
284,FCFS
285,FCFS
286,FCFS
287,FCFS
288,FCFS
289,FCFS
290,FCFS
291,FCFS
292,FCFS
293,FCFS
294,FCFS
295,FCFS
296,FCFS
297,FCFS
298,FCFS
299,FCFS
300,FCFS
301,FCFS
302,FCFS
303,FCFS
304,FCFS
305,FCFS
306,FCFS
307,FCFS
308,FCFS
309,FCFS
310,FCFS
311,FCFS
312,FCFS
313,FCFS
314,FCFS
315,FCFS
316,FCFS
317,FCFS
318,FCFS
319,FCFS
320,FCFS
321,FCFS
322,FCFS
323,FCFS
324,FCFS
325,FCFS
326,FCFS
327,FCFS
328,FCFS
329,FCFS
330,FCFS
331,FCFS
332,FCFS
333,FCFS
334,FCFS
335,FCFS
336,FCFS
337,FCFS
338,FCFS
339,FCFS
340,FCFS
341,FCFS
342,FCFS
343,FCFS
344,FCFS
345,FCFS
346,FCFS
347,FCFS
348,FCFS
349,FCFS
350,FCFS
351,FCFS
352,FCFS
353,FCFS
354,FCFS
355,FCFS
356,FCFS
357,FCFS
358,FCFS
359,FCFS
360,FCFS
361,FCFS
362,FCFS
363,FCFS
364,FCFS
365,FCFS
366,FCFS
367,FCFS
368,FCFS
369,FCFS
370,FCFS
371,FCFS
372,FCFS
373,FCFS
374,FCFS
375,FCFS
376,FCFS
377,FCFS
378,FCFS
379,FCFS
380,FCFS
381,FCFS
382,FCFS
383,FCFS
384,FCFS
385,FCFS
386,FCFS
387,FCFS
388,FCFS
389,FCFS
390,FCFS
391,FCFS
392,FCFS
393,FCFS
394,FCFS
395,FCFS
