arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
40.00,13.00,262144,0.00,100.00,400
38.00,13.00,262144,0.00,100.00,400
36.00,13.00,262144,0.00,100.00,400
34.00,13.00,262144,0.00,100.00,400
40.00,15.30,32768,0.00,100.00,400
38.00,15.30,32768,0.00,100.00,400
32.00,13.00,262144,0.00,100.00,400
36.00,15.30,32768,0.00,100.00,400
30.00,13.00,262144,0.00,100.00,400
34.00,15.30,32768,0.00,100.00,400
40.00,19.70,4096,0.00,100.00,400
32.00,15.30,32768,0.00,100.00,400
28.00,13.00,262144,0.00,100.00,400
38.00,19.70,4096,0.00,100.00,400
30.00,15.30,32768,0.00,100.00,400
26.00,13.00,262144,0.00,100.00,400
36.00,19.70,4096,0.00,100.00,400
24.00,13.00,262144,0.00,100.00,400
28.00,15.30,32768,0.00,100.00,400
34.00,19.70,4096,0.00,100.00,400
22.00,13.00,262144,0.00,100.00,400
26.00,15.30,32768,0.00,100.00,400
32.00,19.70,4096,0.00,100.00,400
40.00,32.30,512,0.00,100.00,400
30.00,19.70,4096,0.00,100.00,400
24.00,15.30,32768,0.00,100.00,400
38.00,32.30,512,0.00,100.00,400
20.00,13.00,262144,0.00,100.00,400
28.00,19.70,4096,0.00,100.00,400
22.00,15.30,32768,0.00,100.00,400
36.00,32.30,512,0.00,100.00,400
34.00,32.30,512,0.00,100.00,400
26.00,19.70,4096,0.00,100.00,400
32.00,32.30,512,0.00,100.00,400
20.00,15.30,32768,0.00,100.00,400
24.00,19.70,4096,0.00,100.00,400
30.00,32.30,512,0.00,100.00,400
22.00,19.70,4096,0.00,100.00,400
28.00,32.30,512,0.00,100.00,400
26.00,32.30,512,0.00,100.00,400
20.00,19.70,4096,0.00,100.00,400
24.00,32.30,512,0.00,100.00,400
22.00,32.30,512,0.00,100.00,400
20.00,32.30,512,0.00,100.00,400
