frequency,Dynamic_BAL_njobs100_mode1_L2_norm_flow_time,Dynamic_BAL_njobs100_mode2_L2_norm_flow_time,Dynamic_BAL_njobs100_mode3_L2_norm_flow_time,Dynamic_BAL_njobs100_mode4_L2_norm_flow_time,Dynamic_BAL_njobs100_mode5_L2_norm_flow_time,Dynamic_BAL_njobs100_mode6_L2_norm_flow_time
65536,676551.054577,676551.054577,676551.054577,676551.054577,676551.054577,676551.054577
4,462387.707979,462387.707979,462387.707979,462387.707979,462387.707979,462387.707979
8,559688.125590,559688.125590,559688.125590,559688.125590,559688.125590,559688.125590
16,580719.795847,580719.795847,580719.795847,580719.795847,580719.795847,580719.795847
2,713204.868946,713204.868946,713204.868946,713204.868946,713204.868946,713204.868946
16384,1603087.397278,1603087.248310,1603087.248310,1603087.397278,1603087.397278,1603087.248310
32,855957.455585,855957.455585,855957.455585,855957.455585,855957.455585,855957.455585
256,728635.685676,728635.685676,728635.685676,728635.685676,728635.685676,728635.685676
64,759581.981970,759581.981970,759581.981970,759581.981970,759581.981970,759581.981970
1024,1091230.267704,1091230.267704,1091230.267704,1091230.267704,1091230.267704,1091230.267704
128,1006539.019412,1006539.019412,1006539.019412,1006539.019412,1006539.019412,1006539.019412
512,1234140.439948,1234140.439948,1234140.439948,1234140.439948,1234140.439948,1234140.439948
8192,1344557.830109,1344557.830109,1344557.830109,1344557.830109,1344557.830109,1344557.830109
2048,1407565.461486,1407565.461486,1407565.461486,1407565.461486,1407565.461486,1407565.461486
4096,1419546.479280,1419546.479280,1419546.479280,1419546.479280,1419546.479280,1419546.479280
32768,1764002.376661,1764612.396910,1764612.396910,1764612.396910,1764612.396910,1764612.396910
