Round,Algorithm_Used
1,SRPT
2,FCFS
3,FCFS
4,FCFS
5,FCFS
6,FCFS
7,SRPT
8,SRPT
9,SRPT
10,SRPT
11,SRPT
12,SRPT
13,SRPT
14,SRPT
15,SRPT
16,SRPT
17,SRPT
18,SRPT
19,SRPT
20,SRPT
21,SRPT
22,SRPT
23,SRPT
24,SRPT
25,SRPT
26,SRPT
27,SRPT
28,SRPT
29,SRPT
30,SRPT
31,SRPT
32,SRPT
33,FCFS
34,FCFS
35,FCFS
36,FCFS
37,FCFS
38,FCFS
39,FCFS
40,FCFS
41,FCFS
42,FCFS
43,FCFS
44,FCFS
45,FCFS
46,FCFS
47,FCFS
48,FCFS
49,FCFS
50,FCFS
51,FCFS
52,FCFS
53,FCFS
54,FCFS
55,FCFS
56,FCFS
57,FCFS
58,FCFS
59,FCFS
60,FCFS
61,FCFS
62,FCFS
63,FCFS
64,FCFS
65,FCFS
66,FCFS
67,FCFS
68,FCFS
69,FCFS
70,FCFS
71,FCFS
72,FCFS
73,FCFS
74,FCFS
75,FCFS
76,FCFS
77,FCFS
78,FCFS
79,FCFS
80,FCFS
81,FCFS
82,FCFS
83,FCFS
84,FCFS
85,FCFS
86,FCFS
87,FCFS
88,FCFS
89,FCFS
90,FCFS
91,FCFS
92,FCFS
93,FCFS
94,FCFS
95,FCFS
96,FCFS
97,FCFS
98,FCFS
99,FCFS
100,FCFS
