Round,Algorithm_Used
1,SRPT
2,SRPT
3,SRPT
4,SRPT
5,SRPT
6,SRPT
7,SRPT
8,SRPT
9,SRPT
10,SRPT
11,SRPT
12,SRPT
13,SRPT
14,SRPT
15,SRPT
16,SRPT
17,SRPT
18,SRPT
19,SRPT
20,SRPT
21,SRPT
22,SRPT
23,SRPT
24,SRPT
25,SRPT
26,SRPT
27,SRPT
28,SRPT
29,SRPT
30,SRPT
31,SRPT
32,SRPT
33,SRPT
34,SRPT
35,SRPT
36,SRPT
37,SRPT
38,SRPT
39,SRPT
40,SRPT
41,SRPT
42,SRPT
43,SRPT
44,SRPT
45,SRPT
46,SRPT
47,SRPT
48,SRPT
49,SRPT
50,SRPT
51,SRPT
52,SRPT
53,SRPT
54,SRPT
55,SRPT
56,SRPT
57,SRPT
58,SRPT
59,SRPT
60,SRPT
61,SRPT
62,SRPT
63,SRPT
64,SRPT
65,SRPT
66,SRPT
67,SRPT
68,SRPT
69,SRPT
70,SRPT
71,SRPT
72,SRPT
73,SRPT
74,SRPT
75,FCFS
76,FCFS
77,FCFS
78,FCFS
79,FCFS
80,FCFS
81,FCFS
82,FCFS
83,FCFS
84,FCFS
85,FCFS
86,FCFS
87,FCFS
88,FCFS
89,FCFS
90,FCFS
91,FCFS
92,FCFS
93,FCFS
94,FCFS
95,FCFS
96,FCFS
97,FCFS
98,FCFS
99,FCFS
100,FCFS
