Mean_inter_arrival_time,bp_parameter_L,bp_parameter_H,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time
34,4.073000,262144.000000,283989.895863,274901.000000
34,4.639000,32768.000000,128507.331662,92890.000000
34,5.649000,4096.000000,52389.813943,31702.000000
34,7.918000,512.000000,43375.845951,16819.000000
34,16.772000,64.000000,35213.094184,5426.000000
34,30.000000,6.000000,47233.002773,9622.000000
34,30.000000,9.000000,61921.648839,19475.000000
34,30.000000,12.000000,38326.747566,10934.000000
34,30.000000,15.000000,47616.003003,8346.000000
34,30.000000,18.000000,50549.172664,10406.000000
