arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage,total_rounds
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,1.00,99.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,42.00,58.00,100
30.00,16.77,64.00,1.00,99.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,8.00,92.00,100
30.00,16.77,64.00,19.00,81.00,100
30.00,16.77,64.00,26.00,74.00,100
30.00,16.77,64.00,3.00,97.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,2.00,98.00,100
30.00,16.77,64.00,1.00,99.00,100
30.00,16.77,64.00,9.00,91.00,100
30.00,16.77,64.00,3.00,97.00,100
30.00,16.77,64.00,14.00,86.00,100
30.00,16.77,64.00,25.00,75.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,1.00,99.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,42.00,58.00,100
30.00,16.77,64.00,6.00,94.00,100
30.00,16.77,64.00,28.00,72.00,100
30.00,16.77,64.00,2.00,98.00,100
30.00,16.77,64.00,8.00,92.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,3.00,97.00,100
30.00,16.77,64.00,6.00,94.00,100
30.00,16.77,64.00,19.00,81.00,100
30.00,16.77,64.00,4.00,96.00,100
30.00,16.77,64.00,2.00,98.00,100
30.00,16.77,64.00,25.00,75.00,100
30.00,16.77,64.00,5.00,95.00,100
30.00,16.77,64.00,6.00,94.00,100
30.00,16.77,64.00,11.00,89.00,100
30.00,16.77,64.00,43.00,57.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,1.00,99.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,1.00,99.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,0.00,100.00,100
30.00,16.77,64.00,22.00,78.00,100
30.00,16.77,64.00,29.00,71.00,100
30.00,16.77,64.00,23.00,77.00,100
30.00,16.77,64.00,46.00,54.00,100
30.00,16.77,64.00,38.00,62.00,100
30.00,16.77,64.00,63.00,37.00,100
30.00,16.77,64.00,24.00,76.00,100
30.00,16.77,64.00,25.00,75.00,100
30.00,16.77,64.00,22.00,78.00,100
30.00,16.77,64.00,20.00,80.00,100
30.00,16.77,64.00,28.00,72.00,100
30.00,16.77,64.00,50.00,50.00,100
30.00,16.77,64.00,17.00,83.00,100
30.00,16.77,64.00,44.00,56.00,100
30.00,16.77,64.00,48.00,52.00,100
30.00,16.77,64.00,12.00,88.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,98.00,2.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,98.00,2.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,98.00,2.00,100
30.00,16.77,64.00,99.00,1.00,100
30.00,16.77,64.00,99.00,1.00,100
