frequency,Dynamic_njobs100_mode1_L2_norm_flow_time,Dynamic_njobs100_mode2_L2_norm_flow_time,Dynamic_njobs100_mode3_L2_norm_flow_time,Dynamic_njobs100_mode4_L2_norm_flow_time,Dynamic_njobs100_mode5_L2_norm_flow_time,Dynamic_njobs100_mode6_L2_norm_flow_time,Dynamic_njobs100_mode7_L2_norm_flow_time,Dynamic_njobs100_mode1_max_flow_time,Dynamic_njobs100_mode2_max_flow_time,Dynamic_njobs100_mode3_max_flow_time,Dynamic_njobs100_mode4_max_flow_time,Dynamic_njobs100_mode5_max_flow_time,Dynamic_njobs100_mode6_max_flow_time,Dynamic_njobs100_mode7_max_flow_time
128,152802.375554,152802.375554,152802.375554,152802.375554,152802.375554,152802.375554,152802.375554,36643.000000,36643.000000,36643.000000,36643.000000,36643.000000,36643.000000,36643.000000
2048,332268.707344,275201.854260,332268.707344,332268.707344,332268.707344,275201.854260,275201.854260,87659.000000,87659.000000,87659.000000,87659.000000,87659.000000,87659.000000,87659.000000
16384,208143.735918,208143.735918,208143.735918,208143.735918,208143.735918,208143.735918,208143.735918,51667.000000,51667.000000,51667.000000,51667.000000,51667.000000,51667.000000,51667.000000
1024,285061.510871,285061.510871,285061.510871,285061.510871,285061.510871,285061.510871,285061.510871,50434.000000,50434.000000,50434.000000,50434.000000,50434.000000,50434.000000,50434.000000
2,215119.526001,215119.526001,215119.526001,215119.526001,215119.526001,215119.526001,215119.526001,48396.000000,48396.000000,48396.000000,48396.000000,48396.000000,48396.000000,48396.000000
256,166370.433332,166370.433332,166370.433332,166370.433332,166370.433332,166370.433332,166370.433332,40723.000000,40723.000000,40723.000000,40723.000000,40723.000000,40723.000000,40723.000000
16,168974.113316,168974.113316,168974.113316,168974.113316,168974.113316,168974.113316,168974.113316,40443.000000,40443.000000,40443.000000,40443.000000,40443.000000,40443.000000,40443.000000
4,165343.293605,165343.293605,165343.293605,165343.293605,165343.293605,165343.293605,165343.293605,36317.000000,36317.000000,36317.000000,36317.000000,36317.000000,36317.000000,36317.000000
512,190988.413489,190988.413489,190988.413489,190988.413489,190988.413489,190988.413489,190988.413489,46557.000000,46557.000000,46557.000000,46557.000000,46557.000000,46557.000000,46557.000000
8192,615353.054796,615353.054796,615353.054796,615353.054796,615353.054796,615353.054796,615353.054796,69459.000000,69459.000000,69459.000000,69459.000000,69459.000000,69459.000000,69459.000000
64,199217.522447,199217.522447,199217.522447,199217.522447,199217.522447,199217.522447,199217.522447,63484.000000,63484.000000,63484.000000,63484.000000,63484.000000,63484.000000,63484.000000
32768,163072.521977,163072.521977,163072.521977,163072.521977,163072.521977,163072.521977,163072.521977,41842.000000,41842.000000,41842.000000,41842.000000,41842.000000,41842.000000,41842.000000
65536,660368.519749,660368.519749,660368.519749,660368.519749,660368.519749,660368.519749,660368.519749,84986.000000,84986.000000,84986.000000,84986.000000,84986.000000,84986.000000,84986.000000
8,152480.011536,152480.011536,152480.011536,152480.011536,152480.011536,152480.011536,152480.011536,42907.000000,42907.000000,42907.000000,42907.000000,42907.000000,42907.000000,42907.000000
4096,194452.714373,192267.391203,194452.714373,194452.714373,194452.714373,192267.391203,192267.391203,38859.000000,38859.000000,38859.000000,38859.000000,38859.000000,38859.000000,38859.000000
32,202419.407740,202419.407740,202419.407740,202419.407740,202419.407740,202419.407740,202419.407740,55850.000000,55850.000000,55850.000000,55850.000000,55850.000000,55850.000000,55850.000000
