frequency,RR_L2_norm_flow_time,RR_maximum_flow_time
2,267673302.732429,3387848.000000
4,265253581.903325,3505675.000000
8,132157763.757039,2336023.000000
16,133105118.808989,2383394.000000
32,273357330.514185,3533083.000000
64,2995714.205224,760761.000000
128,281231115.511018,3346218.000000
256,138309286.443991,2282529.000000
512,276431193.139060,3491406.000000
1024,1994509.835483,888095.000000
2048,241837411.019634,3465963.000000
4096,2341880.459285,672632.000000
8192,241347575.238765,3328987.000000
16384,185352486.591679,3353582.000000
32768,182359514.663683,3467471.000000
65536,255712675.510661,2196333.000000
