arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage,total_rounds
32.00,8.50,262144,0.00,100.00,400
38.00,8.50,262144,0.00,100.00,400
40.00,9.80,32768,0.00,100.00,400
38.00,9.80,32768,0.00,100.00,400
40.00,8.50,262144,0.50,99.50,400
36.00,8.50,262144,0.00,100.00,400
36.00,9.80,32768,0.75,99.25,400
28.00,8.50,262144,0.00,100.00,400
30.00,9.80,32768,0.50,99.50,400
40.00,12.40,4096,0.00,100.00,400
34.00,8.50,262144,0.50,99.50,400
38.00,12.40,4096,0.50,99.50,400
32.00,12.40,4096,0.50,99.50,400
30.00,8.50,262144,0.25,99.75,400
34.00,9.80,32768,0.00,100.00,400
32.00,9.80,32768,0.50,99.50,400
26.00,8.50,262144,0.25,99.75,400
36.00,12.40,4096,0.50,99.50,400
28.00,9.80,32768,0.00,100.00,400
22.00,9.80,32768,0.00,100.00,400
34.00,12.40,4096,0.25,99.75,400
38.00,60.00,18,99.75,0.25,400
24.00,9.80,32768,0.00,100.00,400
24.00,8.50,262144,0.50,99.50,400
26.00,9.80,32768,0.25,99.75,400
30.00,12.40,4096,0.75,99.25,400
40.00,18.90,512,1.00,99.00,400
22.00,8.50,262144,0.00,100.00,400
28.00,12.40,4096,0.00,100.00,400
20.00,8.50,262144,0.00,100.00,400
38.00,18.90,512,1.00,99.00,400
32.00,56.30,64,99.75,0.25,400
26.00,12.40,4096,0.00,100.00,400
20.00,9.80,32768,0.00,100.00,400
36.00,18.90,512,0.75,99.25,400
38.00,56.30,64,99.75,0.25,400
22.00,12.40,4096,0.00,100.00,400
32.00,60.00,18,99.50,0.50,400
40.00,56.30,64,99.75,0.25,400
32.00,18.90,512,0.00,100.00,400
36.00,60.00,18,99.75,0.25,400
40.00,60.00,24,99.75,0.25,400
28.00,60.00,18,96.25,3.75,400
34.00,18.90,512,0.25,99.75,400
24.00,12.40,4096,0.00,100.00,400
20.00,12.40,4096,0.00,100.00,400
28.00,18.90,512,0.00,100.00,400
30.00,18.90,512,0.25,99.75,400
38.00,60.00,24,98.50,1.50,400
26.00,60.00,12,99.75,0.25,400
40.00,60.00,18,99.75,0.25,400
34.00,60.00,18,99.50,0.50,400
32.00,60.00,24,87.75,12.25,400
38.00,60.00,12,99.75,0.25,400
34.00,60.00,24,94.00,6.00,400
26.00,18.90,512,0.00,100.00,400
20.00,60.00,12,95.75,4.25,400
24.00,56.30,64,99.75,0.25,400
30.00,56.30,64,99.75,0.25,400
36.00,56.30,64,99.75,0.25,400
34.00,60.00,12,99.75,0.25,400
24.00,60.00,18,74.75,25.25,400
22.00,56.30,64,99.75,0.25,400
40.00,60.00,12,99.75,0.25,400
24.00,18.90,512,0.00,100.00,400
32.00,60.00,12,99.75,0.25,400
26.00,56.30,64,99.75,0.25,400
28.00,56.30,64,99.75,0.25,400
26.00,60.00,18,89.25,10.75,400
30.00,60.00,12,99.75,0.25,400
36.00,60.00,12,99.75,0.25,400
20.00,56.30,64,99.75,0.25,400
30.00,60.00,24,76.75,23.25,400
28.00,60.00,12,99.75,0.25,400
36.00,60.00,24,97.50,2.50,400
22.00,60.00,12,98.50,1.50,400
24.00,60.00,24,18.50,81.50,400
34.00,56.30,64,99.75,0.25,400
22.00,18.90,512,0.00,100.00,400
30.00,60.00,18,98.25,1.75,400
24.00,60.00,12,99.50,0.50,400
22.00,60.00,18,51.50,48.50,400
20.00,60.00,18,24.00,76.00,400
26.00,60.00,24,40.50,59.50,400
28.00,60.00,24,55.25,44.75,400
20.00,18.90,512,0.00,100.00,400
22.00,60.00,24,9.50,90.50,400
20.00,60.00,24,2.00,98.00,400
