arrival_rate,bp_L,bp_H,FCFS_percentage,SRPT_percentage,total_rounds
20.00,100.00,50,0.00,100.00,4000
26.00,100.00,50,0.00,100.00,4000
28.00,100.00,50,0.00,100.00,4000
20.00,500.00,200,0.00,100.00,4000
38.00,2000.00,800,0.00,100.00,4000
34.00,2000.00,800,0.00,100.00,4000
36.00,100.00,50,0.00,100.00,4000
20.00,2000.00,800,0.00,100.00,4000
40.00,2000.00,800,0.00,100.00,4000
26.00,2000.00,800,0.00,100.00,4000
28.00,500.00,200,0.00,100.00,4000
38.00,100.00,50,0.00,100.00,4000
40.00,100.00,50,0.00,100.00,4000
34.00,100.00,50,0.00,100.00,4000
22.00,100.00,50,0.00,100.00,4000
22.00,2000.00,800,0.00,100.00,4000
30.00,100.00,50,0.00,100.00,4000
36.00,500.00,200,0.00,100.00,4000
22.00,500.00,200,0.00,100.00,4000
32.00,100.00,50,0.00,100.00,4000
40.00,500.00,200,0.00,100.00,4000
24.00,100.00,50,0.00,100.00,4000
24.00,2000.00,800,0.00,100.00,4000
32.00,500.00,200,0.00,100.00,4000
24.00,500.00,200,0.00,100.00,4000
32.00,2000.00,800,0.00,100.00,4000
36.00,2000.00,800,0.00,100.00,4000
30.00,500.00,200,0.00,100.00,4000
30.00,2000.00,800,0.00,100.00,4000
34.00,500.00,200,0.00,100.00,4000
38.00,500.00,200,0.00,100.00,4000
26.00,500.00,200,0.00,100.00,4000
28.00,2000.00,800,0.00,100.00,4000
38.00,8.50,262144,0.00,100.00,40000
40.00,8.50,262144,0.00,100.00,40000
36.00,8.50,262144,0.00,100.00,40000
34.00,8.50,262144,0.00,100.00,40000
40.00,9.80,32768,0.00,100.00,40000
38.00,9.80,32768,0.00,100.00,40000
32.00,8.50,262144,0.00,100.00,40000
36.00,9.80,32768,0.00,100.00,40000
30.00,8.50,262144,0.00,100.00,40000
34.00,9.80,32768,0.00,100.00,40000
28.00,8.50,262144,0.00,100.00,40000
32.00,9.80,32768,0.00,100.00,40000
40.00,12.40,4096,0.00,100.00,40000
26.00,8.50,262144,0.00,100.00,40000
30.00,9.80,32768,0.00,100.00,40000
38.00,12.40,4096,0.00,100.00,40000
36.00,12.40,4096,0.00,100.00,40000
28.00,9.80,32768,0.00,100.00,40000
34.00,12.40,4096,0.00,100.00,40000
24.00,8.50,262144,0.00,100.00,40000
22.00,8.50,262144,0.00,100.00,40000
26.00,9.80,32768,0.00,100.00,40000
32.00,12.40,4096,0.00,100.00,40000
30.00,12.40,4096,0.00,100.00,40000
24.00,9.80,32768,0.00,100.00,40000
20.00,8.50,262144,0.00,100.00,40000
40.00,18.90,512,0.00,100.00,40000
28.00,12.40,4096,0.00,100.00,40000
22.00,9.80,32768,0.00,100.00,40000
26.00,12.40,4096,0.00,100.00,40000
38.00,18.90,512,0.00,100.00,40000
36.00,18.90,512,0.00,100.00,40000
20.00,9.80,32768,0.00,100.00,40000
34.00,18.90,512,0.00,100.00,40000
24.00,12.40,4096,0.00,100.00,40000
22.00,12.40,4096,0.00,100.00,40000
32.00,18.90,512,0.00,100.00,40000
30.00,18.90,512,0.00,100.00,40000
20.00,12.40,4096,0.00,100.00,40000
28.00,18.90,512,0.00,100.00,40000
40.00,60.00,24,0.00,100.00,40000
26.00,18.90,512,0.00,100.00,40000
38.00,60.00,24,0.00,100.00,40000
24.00,18.90,512,0.00,100.00,40000
40.00,60.00,18,0.00,100.00,40000
36.00,60.00,24,0.00,100.00,40000
22.00,18.90,512,0.00,100.00,40000
38.00,60.00,18,0.00,100.00,40000
40.00,60.00,12,0.00,100.00,40000
34.00,60.00,24,0.00,100.00,40000
36.00,60.00,18,0.00,100.00,40000
20.00,18.90,512,0.00,100.00,40000
32.00,60.00,24,0.00,100.00,40000
38.00,60.00,12,0.00,100.00,40000
34.00,60.00,18,0.00,100.00,40000
36.00,60.00,12,0.00,100.00,40000
30.00,60.00,24,0.00,100.00,40000
32.00,60.00,18,0.00,100.00,40000
34.00,60.00,12,0.00,100.00,40000
28.00,60.00,24,0.00,100.00,40000
30.00,60.00,18,0.00,100.00,40000
26.00,60.00,24,0.00,100.00,40000
32.00,60.00,12,0.00,100.00,40000
28.00,60.00,18,0.00,100.00,40000
24.00,60.00,24,0.00,100.00,40000
30.00,60.00,12,0.00,100.00,40000
28.00,60.00,12,0.00,100.00,40000
26.00,60.00,18,0.00,100.00,40000
26.00,60.00,12,0.00,100.00,40000
22.00,60.00,24,0.00,100.00,40000
24.00,60.00,18,0.00,100.00,40000
22.00,60.00,18,0.00,100.00,40000
40.00,56.30,64,0.00,100.00,40000
20.00,60.00,24,0.00,100.00,40000
20.00,60.00,18,0.00,100.00,40000
38.00,56.30,64,0.00,100.00,40000
24.00,60.00,12,0.00,100.00,40000
22.00,60.00,12,0.00,100.00,40000
36.00,56.30,64,0.00,100.00,40000
34.00,56.30,64,0.00,100.00,40000
20.00,60.00,12,0.00,100.00,40000
30.00,56.30,64,0.00,100.00,40000
32.00,56.30,64,0.00,100.00,40000
28.00,56.30,64,0.00,100.00,40000
26.00,56.30,64,0.00,100.00,40000
24.00,56.30,64,0.00,100.00,40000
22.00,56.30,64,0.00,100.00,40000
20.00,56.30,64,0.00,100.00,40000
